timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2,absolute_humidity
2025-07-15 00:00:16,P3,37.99895,36.45781,993.4583,9106,487,16.82
2025-07-15 00:00:46,P3,37.47297,37.02332,993.4506,9012,488,16.63
2025-07-15 00:01:16,P3,37.45266,36.73713,993.4406,9051,487,16.48
2025-07-15 00:01:46,P3,37.50344,36.36449,993.4344,9122,485,16.36
2025-07-15 00:02:16,P3,37.42785,37.22997,993.451,9012,489,16.68
2025-07-15 00:02:46,P3,37.44113,36.85759,993.4514,9059,489,16.53
2025-07-15 00:03:16,P3,37.44875,36.41916,993.4598,9098,490,16.34
2025-07-15 00:03:46,P3,37.96223,36.4364,993.4955,9146,492,16.78
2025-07-15 00:04:16,P3,37.42727,36.94213,993.4554,9051,491,16.55
2025-07-15 00:04:46,P3,37.40051,36.67294,993.4689,9098,492,16.41
2025-07-15 00:05:16,P3,37.44817,36.30626,993.4559,9154,491,16.28
2025-07-15 00:05:46,P3,37.36184,37.17587,993.4531,9067,490,16.6
2025-07-15 00:06:16,P3,37.37453,36.85595,993.4341,9106,491,16.47
2025-07-15 00:06:46,P3,37.37609,36.46354,993.4514,9154,491,16.3
2025-07-15 00:07:16,P3,37.88313,36.51547,993.4651,9211,491,16.75
2025-07-15 00:07:46,P3,37.34484,36.91541,993.4288,9138,493,16.47
2025-07-15 00:08:16,P3,37.30441,36.6161,993.4425,9219,494,16.3
2025-07-15 00:08:46,P3,37.3302,36.30435,993.4351,9243,491,16.19
2025-07-15 00:09:16,P3,37.22766,37.21979,993.4435,9154,490,16.51
2025-07-15 00:09:46,P3,37.23371,36.91113,993.4673,9186,489,16.38
2025-07-15 00:10:16,P3,37.23059,36.50638,993.4659,9243,491,16.19
2025-07-15 00:10:46,P3,37.71848,36.5559,993.5019,9317,492,16.62
2025-07-15 00:11:16,P3,37.17981,37.1498,993.4751,9194,490,16.44
2025-07-15 00:11:46,P3,37.17316,36.83549,993.4976,9227,491,16.29
2025-07-15 00:12:16,P3,37.24289,36.52382,993.4969,9243,492,16.21
2025-07-15 00:12:46,P3,37.15813,37.4702,993.4905,9138,493,16.56
2025-07-15 00:13:16,P3,37.17062,37.22064,993.4857,9178,493,16.46
2025-07-15 00:13:46,P3,37.19172,36.84752,993.5038,9227,493,16.31
2025-07-15 00:14:16,P3,37.71223,36.93612,993.5115,9243,493,16.79
2025-07-15 00:14:46,P3,37.19621,37.48056,993.4794,9146,492,16.6
2025-07-15 00:15:16,P3,37.20031,37.16069,993.4818,9170,495,16.46
2025-07-15 00:15:46,P3,37.25871,36.74736,993.4695,9251,493,16.32
2025-07-15 00:16:16,P3,37.17121,37.63064,993.4857,9138,494,16.64
2025-07-15 00:16:46,P3,37.19973,37.32362,993.4877,9186,492,16.53
2025-07-15 00:17:16,P3,37.20578,36.91876,993.4742,9227,494,16.36
2025-07-15 00:17:46,P3,37.71223,37.0121,993.5058,9268,491,16.83
2025-07-15 00:18:16,P3,37.17336,37.57776,993.4796,9146,493,16.62
2025-07-15 00:18:46,P3,37.1757,37.26946,993.4583,9186,493,16.49
2025-07-15 00:19:16,P3,37.24328,36.90374,993.4507,9227,492,16.38
2025-07-15 00:19:46,P3,37.16164,37.81799,993.4581,9106,493,16.72
2025-07-15 00:20:16,P3,37.1927,37.52864,993.4733,9170,494,16.61
2025-07-15 00:20:46,P3,37.20363,37.12967,993.4391,9203,491,16.45
2025-07-15 00:21:16,P3,37.72453,37.22485,993.4515,9227,491,16.93
2025-07-15 00:21:46,P3,37.21027,37.78811,993.4252,9122,491,16.74
2025-07-15 00:22:16,P3,37.22414,37.46875,993.4072,9170,492,16.61
2025-07-15 00:22:46,P3,37.29738,37.0797,993.3901,9194,492,16.5
2025-07-15 00:23:16,P3,37.21809,38.01838,993.3837,9114,492,16.85
2025-07-15 00:23:46,P3,37.2216,37.70189,993.3583,9178,491,16.72
2025-07-15 00:24:16,P3,37.23273,37.29124,993.3588,9219,491,16.54
2025-07-15 00:24:46,P3,37.73859,37.37322,993.3418,9227,493,17.01
2025-07-15 00:25:16,P3,37.20734,37.92276,993.2918,9114,493,16.8
2025-07-15 00:25:46,P3,37.1884,37.62303,993.2843,9162,492,16.65
2025-07-15 00:26:16,P3,37.24426,37.23792,993.2659,9219,492,16.53
2025-07-15 00:26:46,P3,37.15207,38.13448,993.2551,9098,492,16.85
2025-07-15 00:27:16,P3,37.14641,37.81696,993.2592,9154,489,16.7
2025-07-15 00:27:46,P3,37.1423,37.41047,993.264,9203,492,16.52
2025-07-15 00:28:16,P3,37.64641,37.522,993.3104,9219,492,17.0
2025-07-15 00:28:46,P3,37.12961,38.09663,993.2876,9122,492,16.81
2025-07-15 00:29:16,P3,37.13274,37.78767,993.2838,9130,494,16.68
2025-07-15 00:29:46,P3,37.20422,37.40388,993.2793,9194,493,16.57
2025-07-15 00:30:16,P3,37.12004,38.31997,993.2957,9059,492,16.9
2025-07-15 00:30:46,P3,37.14894,37.98844,993.3066,9114,492,16.78
2025-07-15 00:31:16,P3,37.1427,37.58635,993.3179,9170,491,16.6
2025-07-15 00:31:46,P3,37.63723,37.68563,993.3461,9194,492,17.07
2025-07-15 00:32:16,P3,37.10735,38.2949,993.3276,9083,490,16.88
2025-07-15 00:32:46,P3,37.09719,38.01922,993.337,9162,491,16.75
2025-07-15 00:33:16,P3,37.16066,37.6165,993.3289,9194,489,16.63
2025-07-15 00:33:46,P3,37.07414,38.52157,993.3293,9090,490,16.95
2025-07-15 00:34:16,P3,37.10988,38.17863,993.3332,9114,491,16.83
2025-07-15 00:34:46,P3,37.1259,37.79107,993.3206,9162,493,16.67
2025-07-15 00:35:16,P3,37.64523,37.87511,993.3458,9194,492,17.16
2025-07-15 00:35:46,P3,37.13058,38.45093,993.3094,9090,494,16.97
2025-07-15 00:36:16,P3,37.13351,38.10596,993.2888,9130,489,16.82
2025-07-15 00:36:46,P3,37.21379,37.64569,993.2802,9203,490,16.68
2025-07-15 00:37:16,P3,37.10832,38.55442,993.2612,9090,490,17.0
2025-07-15 00:37:46,P3,37.1175,38.27361,993.2531,9146,489,16.88
2025-07-15 00:38:16,P3,37.11066,37.8655,993.2601,9211,488,16.69
2025-07-15 00:38:46,P3,37.60754,37.95929,993.2759,9235,489,17.17
2025-07-15 00:39:16,P3,37.06516,38.51389,993.2586,9130,489,16.94
2025-07-15 00:39:46,P3,37.05656,38.16185,993.265,9203,489,16.78
2025-07-15 00:40:16,P3,37.09543,37.72057,993.2673,9251,489,16.62
2025-07-15 00:40:46,P3,36.98469,38.67059,993.2625,9130,488,16.94
2025-07-15 00:41:16,P3,36.9798,38.3879,993.2559,9186,488,16.81
2025-07-15 00:41:46,P3,36.98996,37.97563,993.2755,9235,486,16.64
2025-07-15 00:42:16,P3,37.50031,38.02999,993.3053,9284,486,17.1
2025-07-15 00:42:46,P3,36.97551,38.56889,993.2869,9203,486,16.89
2025-07-15 00:43:16,P3,36.95988,38.22762,993.2697,9227,487,16.72
2025-07-15 00:43:46,P3,37.01887,37.84191,993.2611,9276,485,16.6
2025-07-15 00:44:16,P3,36.92336,38.78802,993.2631,9130,486,16.94
2025-07-15 00:44:46,P3,36.95168,38.46762,993.2684,9178,484,16.82
2025-07-15 00:45:16,P3,36.98019,38.03964,993.2575,9211,484,16.66
2025-07-15 00:45:46,P3,37.49895,38.13014,993.2664,9219,487,17.15
2025-07-15 00:46:16,P3,36.97863,38.72354,993.2405,9122,488,16.96
2025-07-15 00:46:46,P3,36.98488,38.41368,993.2315,9162,488,16.83
2025-07-15 00:47:16,P3,37.05793,37.99895,993.2196,9194,485,16.71
2025-07-15 00:47:46,P3,36.98996,38.91461,993.2078,9075,487,17.05
2025-07-15 00:48:16,P3,37.03098,38.58307,993.2014,9106,486,16.94
2025-07-15 00:48:46,P3,37.05949,38.14254,993.1925,9138,489,16.77
2025-07-15 00:49:16,P3,37.58234,38.21053,993.2266,9186,487,17.26
2025-07-15 00:49:46,P3,37.0675,38.76903,993.21,9059,490,17.05
2025-07-15 00:50:16,P3,37.07512,38.39998,993.2083,9122,489,16.9
2025-07-15 00:50:46,P3,37.1175,38.01759,993.1802,9203,490,16.77
2025-07-15 00:51:16,P3,37.02043,38.99464,993.1772,9106,485,17.11
2025-07-15 00:51:46,P3,37.01984,38.65232,993.1761,9170,486,16.96
2025-07-15 00:52:16,P3,37.01418,38.27326,993.1927,9186,484,16.79
2025-07-15 00:52:46,P3,37.53137,38.31702,993.2321,9260,485,17.26
2025-07-15 00:53:16,P3,36.98566,38.91307,993.209,9146,482,17.05
2025-07-15 00:53:46,P3,36.96613,38.63009,993.197,9162,484,16.9
2025-07-15 00:54:16,P3,37.02531,38.1903,993.2296,9219,485,16.76
