device_id,dow,humidity_count,humidity_mean,humidity_std,co2_count,co2_mean,co2_std
P1,0,27904,51.11123398079128,6.225990984010473,27904,595.1170083142201,170.10909946927376
P1,1,26617,52.78532437915618,6.681192056295476,26617,600.7543299395123,169.99975827917658
P1,2,23176,52.645051734552986,6.255968348713617,23176,578.4409734207801,150.95589091952343
P1,3,25060,52.047106304868315,5.145118702977395,25060,576.066839584996,147.6666875713296
P1,4,27345,54.118932857926495,5.3457632961124695,27345,562.2317791186689,134.67983769440272
P1,5,28192,58.587753937287175,5.611726130355102,28192,419.4312216231555,17.625232233295932
P1,6,28003,56.82153158590151,5.788359379294285,28003,422.6743920294254,19.098159622556967
P2,0,23036,39.781311360045144,4.687931940947947,23036,621.7311165132836,233.30339046117751
P2,1,24573,40.86628042078704,4.539507713821306,24573,637.7775200423229,248.3324170663775
P2,2,21138,42.204875820796666,4.711649658211552,21138,556.1026114107295,156.41949026587372
P2,3,23774,41.621406791873476,4.553327792082729,23774,580.3211912172962,167.1792523803249
P2,4,27252,42.456058039409946,4.876059846269303,27252,552.9346103038309,147.26109567332685
P2,5,26556,45.88702109579756,4.371459728702611,26556,416.6351860219913,14.984178792673072
P2,6,25191,44.85862714739391,4.119137101292683,25191,418.7929022269858,11.624675967205352
P3,0,26332,38.73991539229834,5.788761567375511,26332,659.8566762874069,213.0760892568844
P3,1,26018,39.55142669459605,6.260279201827684,26018,683.3243523714351,199.77741292019314
P3,2,20137,40.65012425783384,5.452624891499301,20137,701.9807816457268,272.1984482150689
P3,3,23227,39.2413683708615,4.7193602349411705,23227,689.4927024583459,183.72913853054527
P3,4,25711,39.981291001905795,5.175676765604414,25711,649.431255104819,142.62849723729641
P3,5,27815,43.35227602444724,6.44608269555359,27815,485.5224159626101,37.3204480144057
P3,6,28046,41.8437091948941,6.183676921207507,28046,430.9096127790059,19.953972592653685
