device_id,date,is_daytime,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-07-17,0,89,22.66438202247191,0.7437404774885874,21.87,24.41,89,13.24191011235955,1.0789261037174618,12.11,15.73,89,537.2022471910112,29.53856484453121,496,591
P1,2025-07-18,0,1437,24.573514265831594,1.708108010518418,22.42,27.24,1437,13.291537926235211,0.6386774184476645,12.29,15.08,1437,562.9234516353514,93.69071228260702,449,827
P1,2025-07-18,1,1150,25.994521739130434,0.8616430794167674,22.56,27.28,1150,13.302078260869564,0.4467861572208545,12.16,14.18,1150,694.0730434782608,99.72634385726076,459,828
P1,2025-07-19,0,1436,27.817681058495822,0.8584817559990021,26.61,29.08,1436,15.917472144846798,0.55752134621767,14.96,16.93,1436,412.8955431754875,9.200300384291946,409,450
P1,2025-07-19,1,1437,28.02939457202505,0.612369008946534,27.06,28.94,1437,16.33136395267919,0.3716251355891316,15.51,17.08,1437,409.0654140570633,0.5923438399079426,408,410
P1,2025-07-20,0,1152,28.655642361111113,0.5639593529147625,28.02,29.89,1152,16.644835069444444,0.4054080209838157,16.13,17.6,1152,409.0,0.0,409,409
P1,2025-07-20,1,1436,28.86200557103064,0.5406571198303891,27.96,29.83,1436,17.11435236768802,0.4455823404175119,16.09,17.89,1436,409.2214484679666,0.5433021933517309,408,411
P1,2025-07-21,0,903,26.658349944629016,1.2496694203300713,25.29,29.02,903,14.31517165005537,1.6570860903581222,11.58,17.32,903,484.2214839424142,85.99373271142905,409,663
P1,2025-07-21,1,1183,26.851521555367707,0.959721415620689,25.56,29.3,1183,12.674573119188505,1.156344069452818,11.65,17.43,1183,619.1969568892646,96.40421418113506,408,794
P1,2025-07-22,0,1436,26.840250696378828,0.7768807054415129,25.23,27.68,1436,14.854630919220055,1.3678017931036532,11.56,16.27,1436,482.61768802228414,102.9507751212475,408,798
P1,2025-07-22,1,1437,26.660765483646482,0.5496065685565951,25.75,27.99,1437,13.021148225469728,1.4261852338769525,11.82,16.55,1437,663.7606123869172,170.31084486693888,406,862
P1,2025-07-23,0,1436,26.871810584958215,0.7546534347670172,25.49,27.71,1436,14.711713091922006,1.4452155321442972,11.72,16.34,1436,484.9456824512535,85.50076211829456,410,693
P1,2025-07-23,1,1423,26.928798313422348,0.7699454951374121,25.15,28.07,1423,13.214919184820802,1.2918813257608783,11.77,16.56,1423,608.4399156711173,137.44898200116805,407,796
P1,2025-07-24,0,1436,26.9366713091922,0.6096187698064204,25.36,27.63,1436,14.742339832869082,1.2428915196948218,12.27,16.27,1436,490.19359331476323,83.88706603182345,419,732
P1,2025-07-24,1,1430,26.996874125874125,0.5542395463131896,25.47,27.96,1430,13.35737062937063,1.3617497166547408,11.96,16.82,1430,599.3321678321678,115.8537820899624,409,777
P1,2025-07-25,0,1436,26.951782729805014,0.537366553379599,25.65,27.59,1436,14.589867688022284,1.0576586708454003,12.49,15.67,1436,483.9491643454039,93.10844633967972,409,716
P1,2025-07-25,1,1437,26.83017397355602,0.47435930732086345,25.76,27.94,1437,13.182623521224775,1.0376562570940673,12.13,15.75,1437,624.6659707724426,143.64042188057581,406,803
P1,2025-07-26,0,1436,27.991566852367686,0.49650427789363144,27.25,28.7,1436,16.592298050139277,0.6733880307995392,15.23,17.43,1436,422.1706128133705,11.930553984196933,410,456
P1,2025-07-26,1,1437,28.31639526791928,0.354170661661924,27.64,28.76,1437,16.92785664578984,0.2857361095172486,16.35,17.46,1437,412.29575504523314,3.5149208522151336,410,425
P1,2025-07-27,0,1431,28.588280922431867,0.2907470136089244,28.27,29.17,1431,17.025394828791054,0.1422731341487583,16.67,17.42,1431,410.0188679245283,0.23428296506295437,410,415
P1,2025-07-27,1,1436,28.99041782729805,0.36018225090933026,28.3,29.37,1436,17.492952646239555,0.18744770379628267,17.11,18.03,1436,409.6859331476323,0.46729695665807747,409,411
P1,2025-07-28,0,1437,27.64711203897008,1.0437157463435838,25.88,28.73,1437,15.146673625608909,1.651923901562408,12.32,16.85,1437,446.56297842727906,69.73462206280722,409,669
P1,2025-07-28,1,1436,27.89160167130919,0.7538428916791429,26.01,29.07,1436,13.74282729805014,1.6182840572698785,11.85,17.84,1436,591.7388579387186,116.6659995486295,408,762
P1,2025-07-29,0,1436,26.97866295264624,0.701928668496943,25.72,27.76,1436,15.018941504178274,0.988629005674814,12.71,16.57,1436,466.53133704735376,74.68357216351549,409,675
P1,2025-07-29,1,1437,27.13863604732081,0.5765898009024256,26.0,28.17,1437,13.516367432150313,1.1775579748444038,12.35,17.02,1437,636.5497564370215,141.66330795945672,406,828
P1,2025-07-30,0,1436,27.247541782729805,0.26982485284840124,26.83,27.78,1436,15.279784122562674,1.546747927740883,12.87,17.08,1436,532.259052924791,122.90292373915315,415,797
P1,2025-07-30,1,1437,26.82867780097425,0.5823204756542512,25.42,27.83,1437,14.336722338204591,1.2707771464181217,12.69,17.73,1437,635.7070285316632,146.07210428799317,408,865
P1,2025-07-31,0,1436,26.966065459610025,0.2871378280502555,25.97,27.3,1436,14.244839832869081,0.8756665010256561,12.06,15.21,1436,541.2931754874652,89.72262939287151,464,767
P1,2025-07-31,1,1437,27.38488517745303,0.6724150473178936,25.39,28.66,1437,13.328865692414753,0.7752391360227776,11.77,15.17,1437,716.544885177453,156.86133798927008,410,882
P1,2025-08-01,0,1438,27.1142280945758,0.2794127119410979,25.99,27.49,1438,14.502851182197496,1.2991650094382807,12.12,15.9,1438,521.1043115438108,96.97697304418766,420,728
P1,2025-08-01,1,1436,27.47621169916434,0.6698712714462652,25.42,28.92,1436,13.489582172701951,1.1242285622336343,11.93,16.11,1436,678.2075208913649,156.4263052073354,408,851
P1,2025-08-02,0,1436,28.1816713091922,0.5004393810613083,27.48,28.97,1436,16.323662952646238,0.6199419624791925,15.08,17.38,1436,438.24025069637884,29.4723411766333,410,499
P1,2025-08-02,1,1437,28.642707028531664,0.4557113341763646,27.83,29.29,1437,16.92490605427975,0.37389513403039365,16.08,17.58,1437,419.12456506610994,17.17294267748428,409,460
P1,2025-08-03,0,1408,29.12015625,0.6981283566022024,28.37,30.15,1408,16.88145596590909,0.16542060554132668,16.5,17.28,1408,409.74076704545456,0.43998770060259274,409,411
P1,2025-08-03,1,1437,29.59314544189283,0.730414743958014,28.38,30.42,1437,16.90956158663883,0.14394129829020733,16.55,17.3,1437,409.5525400139179,1.4576861957325167,408,420
P1,2025-08-04,0,1438,28.317844228094575,1.2249459156416365,26.21,29.57,1438,15.281752433936022,2.0188247998843343,11.58,17.37,1438,470.260083449235,85.3088813620335,410,729
P1,2025-08-04,1,1436,27.724512534818942,0.9684938408185163,26.5,30.01,1436,13.199359331476323,1.9675998946318762,11.52,18.02,1436,628.1190807799443,130.58289752857885,409,768
P1,2025-08-05,0,1436,27.62873955431755,1.081655724818974,25.78,28.8,1436,14.821615598885794,2.0628336202456348,11.54,17.32,1436,482.142061281337,87.24379322391133,414,727
P1,2025-08-05,1,1437,27.009324982602646,0.818520493033687,25.92,29.02,1437,12.841663187195547,1.8399807217453517,11.42,17.52,1437,613.5400139178845,123.20188876952567,409,761
P1,2025-08-06,0,1436,27.05699860724234,1.3647526518365516,25.18,28.63,1436,13.8733356545961,2.2027292735182535,11.33,16.86,1436,481.7026462395543,98.97038599044205,410,737
P1,2025-08-06,1,1437,26.85741823242867,0.8217050864236815,25.84,28.88,1437,12.638935281837162,1.8028691677599116,11.38,17.06,1437,605.7620041753653,136.21606578372507,408,799
P1,2025-08-07,0,1436,25.91802228412256,0.7196025728954101,25.0,27.73,1436,12.129554317548747,0.6693949188082321,11.34,14.16,1436,476.6942896935933,85.1456992441418,408,680
P1,2025-08-07,1,1437,26.415713291579678,0.5639879847912971,25.52,27.35,1437,12.024690327070285,0.3023977844703941,11.28,12.69,1437,643.5588030619346,136.27787921343622,408,820
P1,2025-08-08,0,1437,27.164878218510786,1.3018034158380358,25.0,28.62,1437,14.068225469728603,1.80638992213733,11.39,16.42,1437,480.9408489909534,75.88100002279745,413,674
P1,2025-08-08,1,1436,26.94004874651811,0.9104630275037937,25.75,29.06,1436,12.864282729805014,1.6493195643157303,11.31,16.55,1436,582.9616991643454,108.17386602874801,409,704
P1,2025-08-09,0,1438,29.16136300417246,0.7835750061073516,27.81,29.99,1438,16.556870653685674,0.5273726041084088,15.46,17.72,1438,410.1696801112656,2.210652714245296,408,423
P1,2025-08-09,1,1436,28.649136490250697,0.7302247896218949,27.34,29.88,1436,15.027200557103065,1.8810000576532977,12.6,17.84,1436,409.80292479108635,1.422376603681937,408,418
P1,2025-08-10,0,1436,30.39076601671309,0.4074035722096826,29.94,31.05,1436,17.36896239554318,0.21671567134983857,16.64,17.72,1436,431.8516713091922,22.914526926016073,409,470
P1,2025-08-10,1,1437,30.900139178844814,0.5605276141658935,30.0,31.71,1437,17.24114126652749,0.08279218674404437,16.87,17.45,1437,428.8768267223382,17.50943236310568,409,468
P1,2025-08-11,0,1436,28.93275069637883,1.6716722489289844,26.5,30.64,1436,15.409373259052925,2.356863627248028,11.82,17.76,1436,544.7736768802229,109.22633039181251,454,822
P1,2025-08-11,1,1437,27.554530271398747,1.1179569407637768,26.77,30.93,1437,12.574913013221991,1.8639907457088385,10.95,18.05,1437,707.4718162839248,157.80969928938066,417,878
P1,2025-08-12,0,1436,28.116552924791087,1.0683881626949046,26.28,29.37,1436,15.046525069637884,1.558471591148331,12.35,17.05,1436,502.5376044568245,81.26352782311014,425,741
P1,2025-08-12,1,1437,27.815977731384827,0.9292954737316947,26.46,29.88,1437,13.6823034098817,1.5990183870202281,12.05,17.32,1437,656.5421016005567,129.09648176328517,410,809
P1,2025-08-13,0,1438,27.51894993045897,1.3144597876427677,25.07,28.96,1438,14.486258692628653,1.8191202596240026,11.64,16.62,1438,480.84005563282335,103.0689522424208,410,760
P1,2025-08-13,1,1436,26.754888579387185,0.9762711831846933,25.71,29.17,1436,12.73942896935933,1.7237567214292018,11.25,17.09,1436,649.3349582172702,148.7081651652911,408,816
P1,2025-08-14,0,1437,27.406910229645096,1.2060273078516186,24.94,28.51,1437,14.782477383437715,1.4101894863972173,12.02,16.7,1437,464.95407098121086,70.2289677904454,410,636
P1,2025-08-14,1,1436,26.920522284122566,0.9004945247196764,25.55,29.0,1436,13.348426183844012,1.5931230353294095,11.9,17.24,1436,624.708913649025,130.8836659977902,410,799
P1,2025-08-15,0,1436,27.785752089136487,1.1384352877309378,25.99,29.04,1436,15.275222841225627,1.3889068794001624,12.71,16.97,1436,461.4714484679666,62.07635979635077,415,651
P1,2025-08-15,1,1437,27.017529575504525,1.0086674964424887,26.06,29.38,1437,13.287905358385526,1.6945573606161293,12.12,17.43,1437,602.3159359777313,113.52674627822115,409,755
P1,2025-08-16,0,1436,29.227625348189417,0.9563977867169895,28.03,30.56,1436,16.938878830083564,0.7225654521871178,15.54,17.76,1436,413.5717270194986,3.3470161569220997,410,424
P1,2025-08-16,1,1437,29.903799582463467,0.8403619785957831,28.44,30.81,1437,17.072560890744608,0.1790558181633528,16.6,17.47,1437,411.3973556019485,4.409576653301768,409,427
P1,2025-08-17,0,1437,30.301858037578285,0.6667050622274947,29.54,31.41,1437,17.411558803061933,0.21752358480193118,16.85,17.79,1437,419.28462073764786,7.355695788167496,410,436
P1,2025-08-17,1,1436,30.908586350974932,0.8232289744989945,29.54,31.84,1436,17.22317548746518,0.12705980862043886,16.79,17.6,1436,420.1692200557103,13.66824136345495,409,456
P1,2025-08-18,0,1438,28.086119610570233,2.244503182318918,24.44,30.56,1438,13.342614742698192,2.585406446131093,9.77,17.72,1438,588.2809457579972,182.54034072006505,424,1006
P1,2025-08-18,1,1436,27.42192896935933,0.8942756229064098,25.89,30.15,1436,10.937047353760446,0.721272916968724,10.17,14.68,1436,816.7785515320335,258.2955193506966,408,1129
P1,2025-08-19,0,1436,27.170919220055712,1.2445792109324991,25.2,28.7,1436,11.820710306406685,0.5770071017428248,10.27,12.87,1436,625.1678272980502,150.8160994595139,461,951
P1,2025-08-19,1,1437,27.176812804453725,0.9385877357895932,25.39,29.17,1437,11.251955462769658,0.6652892249914416,10.37,14.0,1437,800.5949895615867,216.3446618997985,452,1075
P1,2025-08-20,0,1437,26.580410577592207,1.2589557334670447,24.55,28.0,1437,11.798761308281142,0.47499171311400895,10.55,12.51,1437,582.7014613778706,106.32897827227309,482,901
P1,2025-08-20,1,1420,26.648683098591547,0.7062970751868098,25.3,28.26,1420,11.13537323943662,0.47830398496330706,10.26,12.53,1420,737.9105633802817,198.89819771062955,409,987
P1,2025-08-21,0,1437,26.474933890048714,0.974164494068576,24.6,27.45,1437,12.091183020180932,0.47282001503697485,10.72,13.06,1437,539.8420320111343,103.36582525653989,420,781
P1,2025-08-21,1,1436,27.43673398328691,0.556209033965235,25.54,28.16,1436,11.99516016713092,0.4835476210827147,11.1,14.39,1436,727.299442896936,181.36859736786826,420,934
P1,2025-08-22,0,1427,26.86960056061668,0.8796032480595322,25.07,27.81,1427,11.83667133847232,1.1055209813263196,9.93,13.3,1427,595.3826208829713,141.10659903925446,450,869
P1,2025-08-22,1,1436,26.732806406685235,0.8099354257312018,25.23,28.57,1436,11.432479108635098,1.1877632110636667,9.76,14.61,1436,678.4073816155989,169.6074514374432,410,877
P1,2025-08-23,0,1436,28.50183147632312,0.8864269911303396,27.32,29.8,1436,12.694805013927578,0.7730955223596894,11.54,14.19,1436,436.9185236768802,33.878543745572884,409,537
P1,2025-08-23,1,1437,29.235149617258173,0.7324472909403011,27.8,29.91,1437,13.131649269311065,0.5743944317742764,11.97,14.34,1437,410.90466249130134,4.719568901258468,409,435
P1,2025-08-24,0,1436,29.71560584958217,0.7504679947124461,28.9,30.97,1436,13.382207520891363,0.2539915526576498,12.85,14.36,1436,409.79805013927574,0.4015948522564516,409,410
P1,2025-08-24,1,1437,30.530438413361168,0.9503331126137162,28.91,31.59,1437,13.638684759916494,0.39060967112763695,12.86,14.8,1437,413.0125260960334,6.685835781016325,408,433
P1,2025-08-25,0,1436,27.974247910863507,2.0204579616350196,25.1,30.09,1436,12.090640668523676,1.2688201907149088,10.17,13.65,1436,558.9993036211699,163.55731235442153,410,888
P1,2025-08-25,1,1437,26.841461377870562,0.9308749033724905,25.7,30.03,1437,10.529137091162143,0.6680479869055234,9.58,13.26,1437,765.6235212247739,214.03122953894967,409,1014
P1,2025-08-26,0,1208,27.193534768211922,0.7333215998444732,25.62,27.99,1208,11.391307947019868,0.43620922353540204,10.48,12.01,1208,617.3112582781457,153.2216932960535,471,935
P1,2025-08-26,1,1436,27.757305013927574,0.35983123260899047,26.8,28.55,1436,11.386692200557103,0.4336778842459881,10.76,13.11,1436,817.215877437326,192.33412977408423,474,1030
P1,2025-08-27,0,895,26.93973184357542,0.7130842795607407,25.77,27.94,895,11.62949720670391,0.4932684147794555,10.83,12.7,895,602.0100558659218,82.68507753166502,414,785
P1,2025-08-27,1,1284,27.360638629283486,0.40521664223304515,26.76,28.54,1284,11.413395638629282,0.593651655113765,10.63,14.15,1284,696.936137071651,158.59180769459974,410,889
P1,2025-08-28,0,1436,26.9558147632312,1.2330770402802016,24.65,28.06,1436,12.803440111420613,0.9789521546784236,11.16,15.0,1436,447.1295264623955,34.1964799223362,410,582
P1,2025-08-28,1,1431,26.782620545073375,0.6316255379961502,25.6,28.3,1431,11.297316561844863,0.9591328016427365,10.08,14.07,1431,651.5625436757513,161.40298814475707,409,889
