device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-07-17,23,89,22.66438202247191,0.7437404774885874,21.87,24.41,89,13.24191011235955,1.0789261037174618,12.11,15.73,89,537.2022471910112,29.53856484453121,496,591
P1,2025-07-18,0,120,23.177083333333332,0.17392839168512306,22.42,23.33,120,13.19425,0.11039015986471717,12.74,13.37,120,505.26666666666665,12.285629600385523,483,543
P1,2025-07-18,1,120,22.889833333333335,0.034102744741144,22.83,22.98,120,12.85125,0.054658027772685254,12.75,13.01,120,510.03333333333336,10.088626871723577,489,531
P1,2025-07-18,2,120,22.7285,0.06052501392750048,22.62,22.86,120,12.628333333333334,0.05591610362192437,12.55,12.82,120,518.9583333333334,9.02321546716836,501,540
P1,2025-07-18,3,119,22.838655462184875,0.09971080530458581,22.68,22.97,119,12.880504201680672,0.1661112999324468,12.61,13.13,119,526.1764705882352,10.339694008211643,504,547
P1,2025-07-18,4,120,22.926583333333333,0.024614535342761687,22.88,22.99,120,13.123833333333332,0.023840623946114768,13.07,13.18,120,536.625,8.41872912024134,510,552
P1,2025-07-18,5,120,22.73325,0.12316663918611985,22.58,22.96,120,12.789916666666667,0.22288971472450608,12.46,13.13,120,527.35,16.430474862330687,495,555
P1,2025-07-18,6,107,24.753457943925234,1.7313628086283388,22.56,26.45,107,13.150560747663551,0.5605435902389108,12.42,13.83,107,493.3457943925234,21.279409306836808,459,536
P1,2025-07-18,7,86,25.92267441860465,0.4889061606547077,25.41,26.6,86,13.46372093023256,0.18549803557943811,13.16,13.79,86,562.8372093023256,30.263882751213583,497,611
P1,2025-07-18,9,10,26.29,0.015634719199411118,26.27,26.32,10,13.312000000000001,0.035213633723317914,13.25,13.36,10,605.1,4.794672969962488,600,611
P1,2025-07-18,10,119,26.058823529411764,0.3462441983129906,25.48,26.74,119,13.495042016806723,0.21954835747614806,13.15,14.04,119,606.8151260504202,15.950647607358881,586,649
P1,2025-07-18,11,120,26.389583333333334,0.10735471584427932,26.18,26.58,120,13.718250000000001,0.13507335386511224,13.35,13.89,120,671.5583333333333,14.080677405241453,647,695
