device_id,month,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,7,38926,27.3018414427375,1.1833337665106773,21.87,29.89,38926,14.797071366181987,1.7926220960039123,11.56,18.03,38926,523.0826439911627,137.71191184853348,406,882
P1,8,86997,28.02939997930963,1.6382784968944994,24.44,32.01,86997,14.057262434336815,2.5799394454524482,9.58,19.44,86997,540.9113302757567,166.35310213829953,408,1129
P1,9,60374,27.26710802663398,1.4520441581723424,23.53,31.17,60374,14.947838307880877,2.3139279971587237,11.1,19.7,60374,530.9307317719548,132.68817978197288,407,879
P2,7,38727,32.44081417150825,1.584126641744563,23.14562,35.87434,38727,15.13160533994371,1.7105049044800056,11.39,18.53,38727,527.619619386991,164.36872172853657,407,1364
P2,8,84347,32.105222414075186,1.823591037659,26.96613,36.11086,84347,13.896071111005725,2.5492554588382954,9.18,19.19,84347,547.7858963567169,204.2969070177949,407,1987
P2,9,48446,31.74768268319366,1.5411660224302535,27.94699,35.71281,48446,15.180052842339924,2.3286577277875,10.83,19.96,48446,528.2394005697065,155.96376434171967,407,1490
P3,7,38357,30.84523153062023,1.5245360563953982,22.76398,34.53859,38357,13.463317517011236,1.8289067384108952,9.46,16.74,38357,602.2860494824935,211.29747733978292,400,1964
P3,8,83537,30.454008262207164,2.1561454384956265,25.99895,36.75207,83537,12.156602822701318,2.4776251224805512,8.07,16.49,83537,615.0032919544633,201.04084784344926,400,2143
P3,9,55392,30.239435931903525,1.858403922224779,24.6093,35.00598,55392,12.851759640381283,1.9433714648031788,8.97,16.6,55392,597.828585355286,183.95047949555428,400,1978
