timestamp,device_id,temperature,humidity,pressure,gas_resistance
2025-06-29 23:45:35,P2,27.86106,63.54508,999.6331,85144
2025-06-29 23:45:59,P2,28.17922,64.24464,999.6631,82445
2025-06-29 23:46:29,P2,28.26731,64.84469,999.6644,82215
2025-06-29 23:46:59,P2,28.28,65.00066,999.6616,82445
2025-06-29 23:47:29,P2,28.28078,65.29707,999.6746,82369
2025-06-29 23:48:00,P2,28.28488,65.60858,999.6629,82063
2025-06-29 23:48:31,P2,28.30539,65.84245,999.6641,82369
2025-06-29 23:49:02,P2,28.33078,65.05025,999.6498,83221
2025-06-29 23:49:32,P2,28.31906,64.09784,999.6471,83694
2025-06-29 23:50:01,P2,28.26731,64.27908,999.6432,84252
2025-06-29 23:50:31,P2,28.22941,63.08724,999.6499,84980
2025-06-29 23:51:01,P2,28.15109,63.36103,999.677,85226
2025-06-29 23:51:31,P2,28.06301,62.65437,999.6831,86392
2025-06-29 23:52:01,P2,27.98508,62.4707,999.6763,86476
2025-06-29 23:52:31,P2,27.91906,62.08751,999.675,87763
2025-06-29 23:53:01,P2,27.85285,61.98672,999.6758,87851
2025-06-29 23:53:32,P2,27.82746,61.27508,999.707,87763
2025-06-29 23:54:03,P2,27.78918,61.23362,999.6962,88289
2025-06-29 23:54:32,P2,27.74191,61.3094,999.6903,88732
2025-06-29 23:55:02,P2,27.76262,61.44597,999.6865,89000
2025-06-29 23:55:32,P2,27.80285,61.35968,999.6729,89179
2025-06-29 23:56:02,P2,27.83566,61.37717,999.688,89450
2025-06-29 23:56:32,P2,27.8507,61.18702,999.6624,90272
2025-06-30 00:00:52,P2,27.50051,59.31094,999.6067,84172
2025-06-30 00:10:21,P2,27.85539,56.19673,999.5895,85805
2025-06-30 20:24:08,P2,25.27277,68.25741,1000.781,60628
2025-06-30 20:24:34,P2,25.52941,69.83056,1000.78,66311
2025-06-30 20:25:03,P2,25.44172,68.99465,1000.751,72390
2025-06-30 22:42:37,P2,27.43078,62.95877,1001.841,65866
2025-06-30 22:43:07,P2,27.82023,63.27013,1001.845,76260
2025-06-30 22:43:37,P2,28.04777,62.65681,1001.837,83694
2025-06-30 22:49:29,P2,26.59816,65.06023,1001.871,82369
2025-06-30 22:49:52,P2,26.88976,64.96444,1001.852,89000
2025-06-30 22:50:22,P2,26.95617,64.77718,1001.85,96285
2025-06-30 22:50:52,P2,26.95109,64.71963,1001.846,100383
2025-06-30 22:51:22,P2,26.90754,64.78061,1001.837,102063
2025-06-30 22:51:54,P2,26.86906,64.52534,1001.86,104660
2025-06-30 22:52:26,P2,26.83078,64.96413,1001.841,105283
2025-06-30 22:52:56,P2,26.83332,65.10677,1001.811,106809
2025-06-30 22:53:28,P2,26.84211,65.2753,1001.805,107785
2025-06-30 22:54:00,P2,26.82844,65.42651,1001.807,108646
2025-06-30 22:54:30,P2,26.80676,65.52539,1001.8,110616
2025-06-30 22:55:02,P2,26.79777,65.63149,1001.782,110547
2025-06-30 22:55:34,P2,26.80285,65.5122,1001.751,110547
2025-06-30 22:56:04,P2,26.82121,65.46799,1001.728,111875
2025-06-30 22:57:00,P2,26.38332,65.35043,1001.652,114631
2025-06-30 22:57:29,P2,26.74699,64.73747,1001.697,114705
2025-06-30 22:57:59,P2,26.87316,64.48904,1001.727,113600
2025-06-30 22:58:31,P2,26.89231,64.41827,1001.707,113527
2025-06-30 22:59:01,P2,26.89387,64.37606,1001.709,114482
2025-06-30 22:59:33,P2,26.85539,64.43608,1001.72,115078
2025-06-30 23:00:03,P2,26.80344,64.61601,1001.759,115832
2025-06-30 23:00:35,P2,26.76301,65.02682,1001.726,115228
2025-06-30 23:01:07,P2,26.7423,64.91594,1001.713,115908
2025-06-30 23:01:37,P2,26.72102,65.07407,1001.718,116672
2025-06-30 23:02:09,P2,26.69855,65.15032,1001.714,116212
2025-06-30 23:02:41,P2,26.6798,65.1963,1001.684,116289
2025-06-30 23:03:11,P2,26.68918,65.19739,1001.685,117291
2025-06-30 23:03:43,P2,26.69074,65.45287,1001.699,117291
2025-06-30 23:04:13,P2,26.67922,65.04049,1001.706,117917
2025-06-30 23:09:29,P2,26.34055,66.43454,1001.779,101477
2025-06-30 23:09:58,P2,27.01496,63.38917,1001.809,109250
2025-06-30 23:10:28,P2,26.99367,63.8792,1001.81,113019
2025-06-30 23:10:58,P2,26.85383,64.29771,1001.797,115756
2025-06-30 23:11:30,P2,26.70774,64.51709,1001.795,117058
2025-06-30 23:12:00,P2,26.58586,64.63909,1001.784,118868
2025-06-30 23:12:32,P2,26.4882,64.86079,1001.773,119268
2025-06-30 23:13:02,P2,26.44719,64.94416,1001.743,119834
2025-06-30 23:13:34,P2,26.45774,64.84025,1001.711,120160
2025-06-30 23:14:04,P2,26.48918,64.68996,1001.709,120982
2025-06-30 23:14:36,P2,26.50344,64.54446,1001.695,120487
2025-06-30 23:15:06,P2,26.51633,64.37215,1001.674,122151
2025-06-30 23:15:38,P2,26.51476,64.33743,1001.658,121564
2025-06-30 23:16:08,P2,26.50559,64.28349,1001.651,123086
2025-06-30 23:16:40,P2,26.51262,64.14425,1001.648,122830
2025-06-30 23:17:10,P2,26.51867,64.05122,1001.662,122915
2025-06-30 23:17:42,P2,26.52453,64.0793,1001.663,123001
2025-06-30 23:18:12,P2,26.51476,63.92892,1001.662,123689
2025-06-30 23:18:44,P2,26.50773,63.75732,1001.642,123258
2025-06-30 23:19:14,P2,26.53977,63.55338,1001.655,124824
2025-06-30 23:19:46,P2,26.53195,63.53145,1001.648,124036
2025-06-30 23:20:16,P2,26.51281,63.87534,1001.658,124560
2025-06-30 23:20:48,P2,26.51262,64.61414,1001.665,123430
2025-06-30 23:21:18,P2,26.56105,65.67789,1001.668,123344
2025-06-30 23:22:23,P2,26.35949,66.72209,1001.674,124385
2025-06-30 23:22:29,P2,26.69895,66.16428,1001.685,137646
2025-06-30 23:22:34,P2,26.84465,65.7781,1001.711,144152
2025-06-30 23:22:40,P2,26.90969,65.65249,1001.716,148261
2025-06-30 23:22:46,P2,26.9509,65.52335,1001.733,151046
2025-06-30 23:22:51,P2,26.98723,65.43483,1001.725,153404
2025-06-30 23:22:57,P2,27.01867,65.51363,1001.71,155018
2025-06-30 23:23:03,P2,27.04348,65.4971,1001.712,156804
2025-06-30 23:23:08,P2,27.05949,65.53329,1001.724,157362
2025-06-30 23:23:14,P2,27.07551,65.54274,1001.733,158490
2025-06-30 23:23:20,P2,27.09348,65.47813,1001.729,160068
2025-06-30 23:23:26,P2,27.11164,65.65587,1001.73,161382
2025-06-30 23:23:31,P2,27.12512,65.72588,1001.715,161530
2025-06-30 23:23:37,P2,27.14445,65.66824,1001.693,160795
2025-06-30 23:23:43,P2,27.16613,65.74634,1001.707,162271
