device_id,date,is_daytime,temperature_noise,humidity_noise,pressure_noise,gas_resistance_noise,co2_noise
P1,2025-09-15,0,0.010687140429568052,0.06846730552945288,0.013170342486163509,401.468645843976,
P1,2025-09-16,0,0.11526157935654334,0.5896873094803485,0.025040351963186654,2170.515782009645,
P1,2025-09-16,1,0.1850282114824419,0.9238578978811557,0.025774800757392177,3402.0245364705984,
P1,2025-09-17,0,0.02755356880328946,0.22640556536747986,0.04072878855454142,859.199994318619,
P1,2025-09-17,1,0.05426880228081226,0.3037896554167851,0.06869656926967461,1573.4251960935023,
P1,2025-09-18,0,0.026339105713644086,0.21660653883837938,0.02833280069831699,1446.595949487918,
P1,2025-09-18,1,0.08771081732673057,0.3609203630687467,0.026331881277753783,3551.3023337024115,
P1,2025-09-19,0,0.08806171383509064,0.6103350094569268,0.03204043130696664,2068.9020110019624,
P1,2025-09-19,1,0.19411349033580055,1.0422774801993737,0.02759406696117858,3905.9966365429555,
P1,2025-09-20,0,0.014055741195582548,0.1912973304185414,0.02460942053920367,681.791139962432,
P1,2025-09-20,1,0.020749075496289755,0.27078029487209276,0.023940106551427354,769.8556336272296,
P1,2025-09-21,0,0.028762176235195294,0.17986613745312985,0.02224957574509816,1023.3161411900276,
P1,2025-09-21,1,0.22431615559011686,0.9956720021893141,0.025282363793376776,2981.462757640574,
P1,2025-09-22,0,0.023000577062313787,0.11518203030954788,0.022927726938382697,773.85823464005,
P1,2025-09-22,1,0.1896387475007252,0.8871850958630839,0.026823215874639057,3204.7908013310794,
P2,2025-09-15,0,0.35540438808138836,3.2893594876109606,0.027596562906654847,153.63541448796192,
P2,2025-09-16,0,0.3683020887292636,2.9948924877389635,0.03580852296568416,156.99049306972685,
P2,2025-09-16,1,0.3890446306323118,2.9272020987600973,0.03764664672578482,165.27300858587503,
P2,2025-09-17,0,0.3748379988449276,2.712056891857093,0.05017321618065812,155.56319228952142,
P2,2025-09-17,1,0.38881617394912005,3.2109668089496273,0.0847659682135632,167.36516126073684,
P2,2025-09-18,0,0.38294856284801637,3.5533815515140703,0.04085212595495334,195.8668618041345,
P2,2025-09-18,1,0.33124742793525036,2.8667204061943563,0.04101220966442726,192.93904525435104,
P2,2025-09-19,0,0.38909225087189553,3.4228726315601867,0.04553900482457745,184.43184893646836,
P2,2025-09-19,1,0.4032838317382994,3.111360910726736,0.04040939536223407,203.77843444896385,
P2,2025-09-20,0,0.3106869846183184,2.550542239360887,0.03529778768919596,136.45797060630102,
P2,2025-09-20,1,0.33046771034877437,2.917692236312446,0.037737178486929354,155.25582134594347,
P2,2025-09-21,0,0.33779755500732345,2.655582487660094,0.030889106182041444,145.64218419732003,
P2,2025-09-21,1,0.32626136054375754,2.659882253130942,0.03597120534062269,143.19926478567038,
P2,2025-09-22,0,0.3155164237866523,2.790291486727984,0.03157329210697856,139.49425268713725,
P2,2025-09-22,1,0.38095922205750604,3.320288894887938,0.036768386652807655,197.02283835136788,
P3,2025-09-15,0,0.16245914514004173,0.36778570733640864,0.01646037180338547,47.70280028464716,
P3,2025-09-16,0,0.20844990052948317,0.9231084173116584,0.030721886040189952,42.70937906172351,
P3,2025-09-16,1,0.3527027338863022,2.327969470887413,0.03695072285528282,127.10300577529276,
P3,2025-09-17,0,0.19566894323571138,0.8497921348994546,0.04583467750693823,63.28576284487298,
P3,2025-09-17,1,0.23754119251392158,1.5548436465001982,0.08113488614027804,134.16829932364627,
P3,2025-09-18,0,0.17253242495800625,0.4178603686143639,0.03310711043466557,25.114728009357947,
P3,2025-09-18,1,0.22989782713894802,1.3534324867980432,0.03731182729120422,96.88733932696432,
P3,2025-09-19,0,0.1653121020868728,0.3751167293338893,0.03687030649667571,14.285800115735643,
P3,2025-09-19,1,0.175902828653394,0.4009068677496446,0.03252183905017726,77.82287010673048,
P3,2025-09-20,0,0.16199102197762827,0.33195041563841765,0.0291196489775459,13.261052592171747,
P3,2025-09-20,1,0.16246297594466147,0.37195694853495287,0.031647261306846995,16.80135592549242,
P3,2025-09-21,0,0.16344730685127928,0.27063838040590127,0.02639532164137527,13.334686637244287,
P3,2025-09-21,1,0.1823562159954746,0.38075102212577316,0.031823010632092516,28.30758826980309,
P3,2025-09-22,0,0.16231911818124387,0.28564496080181434,0.025937189270933893,11.877159912038884,
P3,2025-09-22,1,0.25959877015819477,1.7333099608844915,0.03524473857132808,191.90244021705053,
P4,2025-09-15,0,0.17300005349258887,0.44414347890906175,0.01601676443654243,24.918252172187305,
P4,2025-09-16,0,0.22092802898457617,0.6281886661791447,0.0300757384874333,34.24900606528485,
P4,2025-09-16,1,0.24334972863240137,0.5506130188923494,0.030781994591741756,78.51420320784146,
P4,2025-09-17,0,0.19189755288177376,0.4219488770398757,0.0452315373190236,56.0265323979992,
P4,2025-09-17,1,0.19492292186701918,0.42605103328242416,0.07901001604588088,86.6246473046294,
P4,2025-09-18,0,0.17933858995482277,0.5216403975787997,0.033030491820204275,50.95700698320527,
P4,2025-09-18,1,0.21557789309605696,0.7966056030184704,0.035304488838985675,209.53681331034824,
P4,2025-09-19,0,0.1841971639226397,0.3728409082656117,0.03715425261101192,18.730946196401863,
P4,2025-09-19,1,0.1867416036499285,0.38523811726929164,0.033454474767391655,62.682075870345166,
P4,2025-09-20,0,0.17290981503479957,0.3478310136311583,0.029279972340250093,16.635235198708077,
P4,2025-09-20,1,0.1750416214782724,0.39434834660791857,0.03208516942238042,19.634253566206507,
P4,2025-09-21,0,0.18176715558063333,0.29105990367853213,0.026218137334647562,23.72642608465819,
P4,2025-09-21,1,0.21853563715750737,0.4937883639355941,0.03037495210748003,49.811432295257184,
P4,2025-09-22,0,0.1737308412979313,0.28857304269854317,0.025750771847769475,19.72563053141588,
P4,2025-09-22,1,0.18311445735376639,0.35968972068755845,0.029816601580536565,71.27322546113578,
