device_id,temperature_smoothed,humidity_smoothed,pressure_smoothed,gas_resistance_smoothed,co2_smoothed
P1,0.9998973200533936,0.9998973200533936,0.9998973200533936,0.9998973200533936,0.0
P2,0.9998979695949393,0.9998979695949393,0.9998979695949393,0.9998979695949393,0.0
P3,0.9998979800040808,0.9998979800040808,0.9998979800040808,0.9998979800040808,0.0
P4,0.9998979904110986,0.9998979904110986,0.9998979904110986,0.9998979904110986,0.0
