device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-17,5,119,29.71705882352941,0.023590896735254472,29.68,29.76,119,63.94327731092437,0.5632248388140518,63.11,65.03,119,1010.763949579832,0.049441259229710904,1010.68,1010.86,119,139355.3193277311,1704.9458957207466,136290,142070,0,,,,
P1,2025-09-17,6,120,29.803,0.03563588032288225,29.75,29.88,120,63.70958333333333,0.14042190827976733,63.46,64.25,120,1010.9125833333333,0.09507622623729306,1010.83,1011.23,120,140620.38333333333,533.8859315951307,139120,141829,0,,,,
P1,2025-09-17,7,119,29.961008403361344,0.04099183378748049,29.88,30.04,119,63.195966386554616,0.19513715006410354,62.71,63.63,119,1011.2731092436975,0.07824069662748849,1011.13,1011.41,119,140107.91596638656,620.6695206753913,138774,141470,0,,,,
P1,2025-09-17,8,119,30.116134453781513,0.046942251643032715,29.93,30.17,119,62.61714285714285,1.0572591225902201,61.9,67.13,119,1011.3652100840335,0.07538431185427208,1011.25,1011.53,119,139636.0588235294,1104.0024663301267,134322,141589,0,,,,
P1,2025-09-17,9,119,25.653613445378152,1.3363387441587251,24.44,29.83,119,61.58302521008403,1.546794144829137,59.3,66.21,119,1011.6578151260504,0.054417713714130254,1011.55,1011.74,119,184180.8151260504,18051.30307281306,135518,198688,0,,,,
P1,2025-09-17,10,120,24.347833333333334,0.12146295443352305,24.08,24.52,120,64.38766666666668,0.6571823395763019,62.25,65.78,120,1011.5281666666667,0.15642531621141112,1011.21,1011.71,120,194140.38333333333,3271.327906521897,188132,201483,0,,,,
P1,2025-09-17,11,119,24.40252100840336,0.05472920218545058,24.3,24.48,119,64.24470588235295,0.26049113823832726,63.63,64.88,119,1010.6644537815126,0.3055911123223691,1010.3,1011.21,119,195475.97478991596,2113.708442693776,192082,200502,0,,,,
P1,2025-09-17,12,119,24.15058823529412,0.06564276868595526,24.06,24.31,119,64.44478991596638,0.29271044505314975,63.52,65.16,119,1009.940168067227,0.24432190211493818,1009.6,1010.41,119,200614.9243697479,1208.1707082748278,197971,202848,0,,,,
P1,2025-09-17,13,119,23.65218487394958,0.4562989647073455,22.9,24.13,119,64.42361344537815,1.17921672588094,62.28,66.2,119,1010.3150420168067,0.5963588300274215,1009.41,1011.44,119,202311.85714285713,3351.4803566653477,196788,208367,0,,,,
P1,2025-09-17,14,120,22.558583333333335,0.14539020711495876,22.29,22.88,120,64.79,1.009635095076463,63.28,66.4,120,1011.6558333333334,0.24091067884609213,1011.22,1012.07,120,199372.90833333333,7119.8132871324015,186112,208367,0,,,,
