timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2,absolute_humidity,date,hour,dow,is_daytime,is_night,temperature_rollmean_30,humidity_rollmean_30,pressure_rollmean_30,gas_resistance_rollmean_30,co2_rollmean_30,temperature_is_outlier,humidity_is_outlier,pressure_is_outlier,gas_resistance_is_outlier,co2_is_outlier
2025-09-15 22:45:08,P1,28.02,69.18,1014.11,119900,,18.82,2025-09-15,22,0,0,1,27.886000000000003,69.39133333333332,1014.2053333333333,119638.26666666666,,0,0,0,0,0
2025-09-15 22:45:38,P1,28.03,69.14,1014.12,119728,,18.82,2025-09-15,22,0,0,1,27.895333333333333,69.376,1014.2009999999999,119646.8,,0,0,0,0,0
2025-09-15 22:46:08,P1,28.04,69.07,1014.12,119814,,18.81,2025-09-15,22,0,0,1,27.904999999999998,69.35933333333332,1014.1963333333334,119663.86666666667,,0,0,0,0,0
2025-09-15 22:46:38,P1,28.05,69.06,1014.11,119728,,18.81,2025-09-15,22,0,0,1,27.91466666666667,69.34166666666667,1014.1916666666667,119678.06666666667,,0,0,0,0,0
2025-09-15 22:47:09,P1,28.05,68.98,1014.11,120158,,18.79,2025-09-15,22,0,0,1,27.924,69.32,1014.1866666666666,119692.4,,0,0,0,0,0
2025-09-15 22:47:39,P1,28.06,69.01,1014.11,119728,,18.81,2025-09-15,22,0,0,1,27.933666666666667,69.29933333333334,1014.1816666666667,119698.1,,0,0,0,0,0
2025-09-15 22:48:09,P1,28.06,69.01,1014.11,120764,,18.82,2025-09-15,22,0,0,1,27.942999999999998,69.28033333333335,1014.1766666666666,119715.43333333333,,0,0,0,0,0
2025-09-15 22:48:39,P1,28.07,69.01,1014.11,120504,,18.82,2025-09-15,22,0,0,1,27.952333333333335,69.26266666666668,1014.1713333333333,119752.66666666667,,0,0,0,0,0
2025-09-15 22:49:09,P1,28.08,68.99,1014.11,120330,,18.83,2025-09-15,22,0,0,1,27.961666666666666,69.24466666666667,1014.1656666666667,119769.86666666667,,0,0,0,0,0
2025-09-15 22:49:40,P1,28.08,68.96,1014.11,119728,,18.82,2025-09-15,22,0,0,1,27.970666666666666,69.22666666666666,1014.1603333333333,119803.8,,0,0,0,0,0
2025-09-15 22:50:10,P1,28.09,68.94,1014.11,120417,,18.83,2025-09-15,22,0,0,1,27.97966666666667,69.21000000000001,1014.1553333333334,119826.76666666666,,0,0,0,0,0
2025-09-15 22:50:40,P1,28.1,68.96,1014.11,120590,,18.84,2025-09-15,22,0,0,1,27.988666666666667,69.19366666666666,1014.1506666666667,119852.63333333333,,0,0,0,0,0
2025-09-15 22:51:10,P1,28.11,68.88,1014.11,120417,,18.83,2025-09-15,22,0,0,1,27.997333333333334,69.17599999999999,1014.1463333333334,119889.8,,0,0,0,0,0
2025-09-15 22:51:40,P1,28.12,68.96,1014.11,120244,,18.86,2025-09-15,22,0,0,1,28.005999999999997,69.16266666666667,1014.142,119915.53333333334,,0,0,0,0,0
2025-09-15 22:52:11,P1,28.12,69.01,1014.11,120417,,18.88,2025-09-15,22,0,0,1,28.014333333333333,69.15,1014.1376666666667,119938.5,,0,0,0,0,0
2025-09-15 22:52:41,P1,28.13,68.96,1014.11,120504,,18.87,2025-09-15,22,0,0,1,28.022666666666666,69.135,1014.134,119967.2,,0,0,0,0,0
2025-09-15 22:53:11,P1,28.14,68.88,1014.11,120590,,18.86,2025-09-15,22,0,0,1,28.031,69.11866666666667,1014.1306666666666,119995.93333333333,,0,0,0,0,0
2025-09-15 22:53:41,P1,28.15,68.93,1014.11,120504,,18.88,2025-09-15,22,0,0,1,28.03933333333333,69.10633333333334,1014.1276666666666,120027.5,,0,0,0,0,0
2025-09-15 22:54:11,P1,28.16,68.88,1014.11,121201,,18.88,2025-09-15,22,0,0,1,28.047333333333334,69.08966666666667,1014.125,120099.26666666666,,0,0,0,0,0
2025-09-15 22:54:41,P1,28.16,68.91,1014.11,119302,,18.89,2025-09-15,22,0,0,1,28.055,69.07733333333333,1014.1226666666666,120102.1,,0,0,0,0,0
2025-09-15 22:55:12,P1,28.17,68.9,1014.11,120504,,18.9,2025-09-15,22,0,0,1,28.062666666666665,69.06400000000001,1014.1203333333334,120113.63333333333,,0,0,0,0,0
2025-09-15 22:55:42,P1,28.18,68.93,1014.11,119900,,18.91,2025-09-15,22,0,0,1,28.070333333333334,69.05133333333333,1014.1183333333335,120125.06666666667,,0,0,0,0,0
2025-09-15 22:56:12,P1,28.19,68.96,1014.11,120590,,18.93,2025-09-15,22,0,0,1,28.077999999999996,69.03866666666666,1014.1163333333333,120145.2,,0,0,0,0,0
2025-09-15 22:56:42,P1,28.19,69.01,1014.11,120590,,18.95,2025-09-15,22,0,0,1,28.085333333333335,69.02866666666667,1014.1146666666666,120162.46666666666,,0,0,0,0,0
2025-09-15 22:57:12,P1,28.19,68.99,1014.12,120504,,18.95,2025-09-15,22,0,0,1,28.092333333333332,69.01866666666666,1014.1136666666667,120182.6,,0,0,0,0,0
2025-09-15 22:57:43,P1,28.2,68.97,1014.12,119643,,18.95,2025-09-15,22,0,0,1,28.099333333333334,69.00733333333334,1014.1133333333333,120191.13333333333,,0,0,0,0,0
2025-09-15 22:58:13,P1,28.21,68.88,1014.12,119728,,18.93,2025-09-15,22,0,0,1,28.106333333333335,68.99600000000001,1014.1129999999999,120185.4,,0,0,0,0,0
2025-09-15 22:58:43,P1,28.21,68.85,1014.12,120417,,18.92,2025-09-15,22,0,0,1,28.113,68.98433333333332,1014.1126666666665,120225.4,,0,0,0,0,0
2025-09-15 22:59:13,P1,28.22,68.86,1014.12,121026,,18.93,2025-09-15,22,0,0,1,28.12,68.97433333333333,1014.1126666666667,120268.66666666667,,0,0,0,0,0
2025-09-15 22:59:43,P1,28.22,68.77,1014.11,120417,,18.92,2025-09-15,22,0,0,1,28.126666666666665,68.96133333333334,1014.1123333333334,120262.9,,0,0,0,0,0
2025-09-15 23:00:14,P1,28.23,68.75,1014.1,120244,,18.92,2025-09-15,23,0,0,1,28.133666666666667,68.94699999999999,1014.112,120274.36666666667,,0,0,0,0,0
2025-09-15 23:00:44,P1,28.24,68.8,1014.1,121026,,18.94,2025-09-15,23,0,0,1,28.140666666666668,68.93566666666668,1014.1113333333334,120317.63333333333,,0,0,0,0,0
2025-09-15 23:01:14,P1,28.24,68.69,1014.1,120158,,18.92,2025-09-15,23,0,0,1,28.147333333333336,68.923,1014.1106666666667,120329.1,,0,0,0,0,0
2025-09-15 23:01:44,P1,28.25,68.67,1014.09,120939,,18.92,2025-09-15,23,0,0,1,28.154,68.91000000000001,1014.1100000000001,120369.46666666666,,0,0,0,0,0
2025-09-15 23:02:14,P1,28.26,68.67,1014.08,120590,,18.92,2025-09-15,23,0,0,1,28.161,68.89966666666666,1014.109,120383.86666666667,,0,0,0,0,0
2025-09-15 23:02:45,P1,28.26,68.69,1014.08,120590,,18.93,2025-09-15,23,0,0,1,28.167666666666666,68.889,1014.1080000000001,120412.6,,0,0,0,0,0
2025-09-15 23:03:15,P1,28.27,68.75,1014.08,120939,,18.96,2025-09-15,23,0,0,1,28.174666666666667,68.88033333333333,1014.107,120418.43333333333,,0,0,0,0,0
2025-09-15 23:03:45,P1,28.27,68.64,1014.08,121465,,18.93,2025-09-15,23,0,0,1,28.18133333333333,68.868,1014.106,120450.46666666666,,0,0,0,0,0
2025-09-15 23:04:15,P1,28.27,68.65,1014.07,120590,,18.93,2025-09-15,23,0,0,1,28.187666666666665,68.85666666666665,1014.1046666666666,120459.13333333333,,0,0,0,0,0
2025-09-15 23:04:45,P1,28.27,68.62,1014.06,120590,,18.93,2025-09-15,23,0,0,1,28.194,68.84533333333334,1014.1030000000002,120487.86666666667,,0,0,0,0,0
2025-09-15 23:05:16,P1,28.27,68.69,1014.06,120851,,18.95,2025-09-15,23,0,0,1,28.200000000000003,68.83699999999999,1014.1013333333334,120502.33333333333,,0,0,0,0,0
2025-09-15 23:05:46,P1,28.28,68.68,1014.06,121114,,18.95,2025-09-15,23,0,0,1,28.206000000000003,68.82766666666666,1014.0996666666667,120519.8,,0,0,0,0,0
2025-09-15 23:06:16,P1,28.28,68.64,1014.06,120764,,18.94,2025-09-15,23,0,0,1,28.211666666666666,68.81966666666668,1014.098,120531.36666666667,,0,0,0,0,0
2025-09-15 23:06:46,P1,28.29,68.63,1014.06,120764,,18.95,2025-09-15,23,0,0,1,28.217333333333332,68.80866666666665,1014.0963333333333,120548.7,,0,0,0,0,0
2025-09-15 23:07:16,P1,28.3,68.68,1014.05,121201,,18.97,2025-09-15,23,0,0,1,28.223333333333336,68.79766666666666,1014.0943333333332,120574.83333333333,,0,0,0,0,0
2025-09-15 23:07:46,P1,28.31,68.65,1014.05,121201,,18.97,2025-09-15,23,0,0,1,28.229333333333333,68.78733333333334,1014.0923333333333,120598.06666666667,,0,0,0,0,0
2025-09-15 23:08:17,P1,28.32,68.65,1014.05,121114,,18.98,2025-09-15,23,0,0,1,28.235333333333337,68.77966666666666,1014.0903333333334,120615.53333333334,,0,0,0,0,0
