device_id,date,is_daytime,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_count,humidity_mean,humidity_std,humidity_min,humidity_max,pressure_count,pressure_mean,pressure_std,pressure_min,pressure_max,gas_resistance_count,gas_resistance_mean,gas_resistance_std,gas_resistance_min,gas_resistance_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P1,2025-09-15,0,178,28.331516853932584,0.26792665377811326,27.75,28.69,178,68.64837078651685,0.4366774108831824,67.96,69.63,178,1014.0653932584271,0.0867369056500914,1013.91,1014.28,178,121141.33707865169,1134.8224774067378,118710,123708,0,,,,
P1,2025-09-16,0,1431,27.193354297693922,2.720481459262233,22.31,29.83,1431,68.05518518518518,1.832893109539434,63.83,74.36,1431,1011.9010831586303,1.0854848490031144,1010.05,1013.93,1431,140254.43326345214,21421.174697526338,122263,196788,0,,,,
P1,2025-09-16,1,1431,25.080503144654084,2.882287145172726,22.53,30.15,1431,65.04046820405311,3.8078849172302394,53.53,71.46,1431,1011.7386652690426,1.4114846002305401,1009.82,1013.74,1431,176109.60587002095,25312.427866905236,125280,206667,0,,,,
P1,2025-09-17,0,1431,26.977847658979737,2.942807109864133,22.26,29.76,1431,67.20382250174703,2.046524051397282,63.11,72.62,1431,1012.4858141160028,1.8149860672096338,1010.48,1015.18,1431,149709.3675751223,25777.954947241167,128254,199651,0,,,,
P1,2025-09-17,1,1431,25.178763102725366,2.945708993775225,22.25,30.17,1431,63.9756394129979,1.261375536749992,59.3,67.13,1431,1011.1001607267646,0.5747525238390457,1009.41,1012.07,1431,177638.30747728862,24203.262260275034,134322,208367,0,,,,
P1,2025-09-18,0,1430,28.04041958041958,1.1114391367456107,25.8,29.38,1430,63.33467132867133,5.764021246888861,53.03,71.02,1430,1015.6858811188812,1.1703855805381567,1013.29,1017.14,1430,161633.75874125873,28096.323171381544,127863,216446,0,,,,
P1,2025-09-18,1,1431,26.72733752620545,1.6095378644335616,23.26,29.58,1431,56.97180293501048,4.89702650955289,50.86,67.17,1431,1016.1792732354996,0.6389233974487459,1015.06,1017.27,1431,193271.3389238295,27843.03774290596,103844,228299,0,,,,
P1,2025-09-19,0,1431,27.053277428371768,1.894726677128301,23.54,28.75,1431,65.15101327742838,4.941248492522778,59.24,75.76,1431,1013.2980992313069,2.1881576421886746,1010.57,1016.16,1431,162359.43466107617,11678.373168377964,139933,180496,0,,,,
P1,2025-09-19,1,1431,25.42561146051712,2.15369768868477,23.41,29.03,1431,65.48044723969252,3.827052135989936,57.68,73.71,1431,1013.3754716981132,1.723995168289033,1011.0,1015.67,1431,181144.0538085255,17177.192219959572,152550,217878,0,,,,
P1,2025-09-20,0,1431,28.526156533892383,0.286831083714618,28.2,29.12,1431,60.17604472396925,4.968002427643806,52.36,67.2,1431,1013.158714185884,2.2706679085940396,1010.38,1015.91,1431,175105.50873515024,27337.126789719983,140402,219183,0,,,,
P1,2025-09-20,1,1431,28.685108315863033,0.25789621999448975,28.31,29.15,1431,59.88004192872117,0.9540265046985673,57.48,62.27,1431,1013.5138644304683,0.5080699319324438,1012.17,1014.26,1431,174236.3459119497,7683.193941304719,158768,184879,0,,,,
P1,2025-09-21,0,1430,27.67186713286713,0.8507727170424774,24.13,28.31,1430,55.21356643356643,1.9524158495405806,52.43,61.02,1430,1015.9504475524475,0.5951576897713282,1015.01,1016.93,1430,208456.46503496505,6126.283339183733,198090,220948,0,,,,
P1,2025-09-21,1,1431,24.511411600279526,1.4908479186291064,22.28,28.16,1431,58.65960866526904,3.426191975815371,51.29,68.64,1431,1015.816324248777,0.7528081998084448,1014.65,1016.86,1431,223755.12229210342,7348.235255607106,201237,243670,0,,,,
