timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2,absolute_humidity
2025-07-14 00:00:11,P2,31.58762,51.79322,994.8915,5140,444,17.11
2025-07-14 00:00:41,P2,31.61144,51.76366,994.9022,5213,443,17.12
2025-07-14 00:01:11,P2,31.54738,53.28643,994.9066,5060,444,17.56
2025-07-14 00:01:41,P2,31.61047,53.73026,994.9216,5107,446,17.77
2025-07-14 00:02:11,P2,31.65988,53.88445,994.9401,5155,448,17.87
2025-07-14 00:02:41,P2,32.19211,54.53802,994.9716,5248,450,18.6
2025-07-14 00:03:11,P2,31.68332,56.10468,994.9261,5055,450,18.63
2025-07-14 00:03:41,P2,31.66906,55.95103,994.9495,5116,449,18.56
2025-07-14 00:04:11,P2,31.78391,55.38512,994.9316,5174,446,18.49
2025-07-14 00:04:41,P2,31.72141,57.1181,994.931,5023,445,19.0
2025-07-14 00:05:11,P2,31.78664,57.00624,994.9604,5079,445,19.03
2025-07-14 00:05:41,P2,31.89289,56.16354,994.937,5126,445,18.85
2025-07-14 00:06:11,P2,32.44172,56.45391,994.9576,5218,445,19.51
2025-07-14 00:06:41,P2,31.88137,57.62902,994.9366,5037,444,19.33
2025-07-14 00:07:11,P2,31.90988,57.13456,994.9226,5088,444,19.2
2025-07-14 00:07:41,P2,32.04113,56.45749,994.9257,5140,443,19.1
2025-07-14 00:08:11,P2,31.97883,57.84505,994.901,4991,444,19.51
2025-07-14 00:08:41,P2,32.07824,57.22549,994.8702,5055,443,19.4
2025-07-14 00:09:11,P2,32.19426,56.25443,994.85,5107,443,19.19
2025-07-14 00:09:41,P2,32.71594,56.27314,994.8434,5203,439,19.73
2025-07-14 00:10:11,P2,32.14582,57.28314,994.8153,5023,436,19.49
2025-07-14 00:10:41,P2,32.1343,56.75832,994.7983,5083,436,19.3
2025-07-14 00:11:11,P2,32.18918,55.70168,994.7885,5155,436,19.0
2025-07-14 00:11:41,P2,32.08644,56.53117,994.769,5018,438,19.17
2025-07-14 00:12:11,P2,32.02336,55.80765,994.7712,5097,437,18.87
2025-07-14 00:12:41,P2,31.99934,54.69535,994.7725,5169,437,18.47
2025-07-14 00:13:11,P2,32.49133,54.42083,994.7852,5278,437,18.86
2025-07-14 00:13:41,P2,31.90559,54.91776,994.764,5102,436,18.45
2025-07-14 00:14:11,P2,31.82473,54.32988,994.7734,5169,436,18.17
2025-07-14 00:14:41,P2,31.80285,53.51192,994.789,5253,436,17.88
2025-07-14 00:15:11,P2,31.69992,54.52558,994.7828,5112,437,18.12
2025-07-14 00:15:41,P2,31.61008,54.08691,994.7592,5179,438,17.89
2025-07-14 00:16:11,P2,31.56164,53.46534,994.762,5253,436,17.63
2025-07-14 00:16:41,P2,32.00129,53.52312,994.7761,5356,436,18.07
2025-07-14 00:17:11,P2,31.42121,54.28664,994.7288,5164,434,17.77
2025-07-14 00:17:41,P2,31.30207,53.78716,994.7128,5233,433,17.5
2025-07-14 00:18:11,P2,31.34328,53.16729,994.6803,5304,434,17.33
2025-07-14 00:18:41,P2,31.25734,54.27045,994.6873,5160,433,17.61
2025-07-14 00:19:11,P2,31.21008,53.60205,994.6646,5238,436,17.35
2025-07-14 00:19:41,P2,31.17551,53.02871,994.6638,5304,436,17.13
2025-07-14 00:20:11,P2,31.66125,53.12447,994.684,5408,435,17.62
2025-07-14 00:20:41,P2,31.09094,53.80628,994.6769,5213,432,17.31
2025-07-14 00:21:11,P2,31.08566,53.20148,994.688,5273,430,17.11
2025-07-14 00:21:41,P2,31.02277,52.86087,994.6992,5356,429,16.94
2025-07-14 00:22:11,P2,30.95539,54.27571,994.7086,5184,430,17.33
2025-07-14 00:22:41,P2,30.97648,54.11384,994.7251,5238,432,17.3
2025-07-14 00:23:11,P2,31.07609,54.3973,994.7467,5283,436,17.48
2025-07-14 00:23:41,P2,31.67707,55.13326,994.8008,5366,438,18.3
2025-07-14 00:24:11,P2,31.21848,56.43987,994.8006,5174,439,18.28
2025-07-14 00:24:41,P2,31.2966,56.19507,994.813,5208,441,18.27
2025-07-14 00:25:11,P2,31.39934,56.17944,994.8315,5273,441,18.37
2025-07-14 00:25:41,P2,31.39269,57.97514,994.8281,5112,442,18.95
2025-07-14 00:26:11,P2,31.47297,57.54977,994.8234,5169,441,18.89
2025-07-14 00:26:41,P2,31.53215,57.15512,994.8103,5223,443,18.82
2025-07-14 00:27:11,P2,32.06398,57.52279,994.8284,5309,443,19.49
2025-07-14 00:27:41,P2,31.5673,58.56792,994.7759,5126,443,19.32
2025-07-14 00:28:11,P2,31.57473,58.29215,994.7867,5169,444,19.24
2025-07-14 00:28:41,P2,31.69484,57.79551,994.7408,5238,444,19.2
2025-07-14 00:29:11,P2,31.66047,59.02401,994.743,5069,444,19.57
2025-07-14 00:29:41,P2,31.74094,58.86666,994.7241,5140,443,19.6
2025-07-14 00:30:11,P2,31.78215,58.24388,994.7109,5194,443,19.44
2025-07-14 00:30:41,P2,32.35188,58.46851,994.7235,5273,443,20.11
2025-07-14 00:31:11,P2,31.84855,59.55688,994.6905,5093,443,19.95
2025-07-14 00:31:41,P2,31.93977,59.01685,994.6898,5135,443,19.86
2025-07-14 00:32:11,P2,32.01711,58.29636,994.6685,5208,441,19.7
2025-07-14 00:32:41,P2,31.9427,59.95221,994.6563,5051,440,20.18
2025-07-14 00:33:11,P2,31.95949,59.42525,994.6616,5116,440,20.02
2025-07-14 00:33:41,P2,32.00383,58.96558,994.6721,5174,440,19.91
2025-07-14 00:34:11,P2,32.56633,58.974,994.6949,5263,440,20.52
