timestamp,device_id,temperature,humidity,pressure,gas_resistance,co2
2025-07-02 22:39:28,P2,26.54816,57.16684,1003.271,103523,729
2025-07-02 22:39:58,P2,26.50598,57.34816,1003.221,103140,726
2025-07-02 22:40:29,P2,26.45226,56.66824,1003.237,104296,731
2025-07-02 22:40:59,P2,26.38566,56.83428,1003.28,104361,734
2025-07-02 22:41:29,P2,26.32766,56.58558,1003.271,105346,733
2025-07-02 22:41:59,P2,26.24699,56.66583,1003.264,105016,732
2025-07-02 22:42:29,P2,26.18449,56.55997,1003.266,106013,739
2025-07-02 22:43:00,P2,26.11848,56.21724,1003.285,106214,734
2025-07-02 22:43:30,P2,26.05246,55.76441,1003.284,107303,724
2025-07-02 22:44:00,P2,25.97395,56.18424,1003.281,106688,731
2025-07-02 22:44:30,P2,25.93039,55.87744,1003.304,107717,732
2025-07-02 22:45:00,P2,25.90695,55.87531,1003.271,107786,735
2025-07-02 22:45:31,P2,25.89172,55.48203,1003.221,108837,736
2025-07-02 22:46:01,P2,25.85988,55.29855,1003.221,109121,734
2025-07-02 22:46:31,P2,25.82668,55.21724,1003.232,109692,738
2025-07-02 22:47:01,P2,25.80539,55.21531,1003.23,109908,735
2025-07-02 22:47:31,P2,25.78664,54.91803,1003.204,110634,740
2025-07-02 22:48:02,P2,25.75266,54.93928,1003.195,110780,739
2025-07-02 22:48:32,P2,25.73156,54.99396,1003.166,111074,738
2025-07-02 22:49:02,P2,25.71457,54.64156,1003.184,111370,737
2025-07-02 22:49:32,P2,25.68195,54.55289,1003.174,111816,735
2025-07-02 22:50:02,P2,25.63938,54.54848,1003.167,111741,737
2025-07-02 22:50:33,P2,25.61437,54.39143,1003.177,112643,741
2025-07-02 22:51:03,P2,25.57766,54.46941,1003.18,112643,740
2025-07-02 22:51:33,P2,25.54309,54.33082,1003.19,112341,738
2025-07-02 22:52:03,P2,25.49992,54.27437,1003.186,112416,741
2025-07-02 22:52:33,P2,25.46535,54.30139,1003.165,113176,742
2025-07-02 22:53:04,P2,25.43332,54.31641,1003.172,113868,742
2025-07-02 22:53:34,P2,25.41008,54.32001,1003.187,114179,741
2025-07-02 22:54:04,P2,25.39367,54.0133,1003.195,113636,740
2025-07-02 22:54:34,P2,25.37687,54.05525,1003.189,114334,743
2025-07-02 22:55:04,P2,25.35871,53.83133,1003.163,114491,743
2025-07-02 22:55:34,P2,25.34758,53.95656,1003.184,114962,746
2025-07-02 22:56:05,P2,25.32941,53.88404,1003.169,115199,744
