date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2025-07-17,,,,,,,,,,,,,,,,,,,,,,,,0.6898111510875957
2025-07-18,0.6898111510875956,0.6898111510875956,0.2269076050795912,0.07260642307692307,0.07260642307692307,0.07260642307692307,0.7660624487566012,1.041221347815354,,2.153920564872021,2.153920564872021,2.382963584210436,0.2969839548858279,0.2969839548858279,0.2969839548858279,0.2969839548858279,0.2969839548858279,0.2969839548858279,0.2969839548858279,0.4418694408233561,,,,0.4824002721088436
2025-07-19,0.0,0.0,0.0,0.09722796182038707,0.19815007639438204,0.32923818571428565,0.14897655462184875,0.10855792790123459,,,,,,,,,0.017738885164494102,0.017738885164494102,0.011825923442996067,0.0198074639083291,0.11121821500155615,0.07251079090136055,0.025193487867538517,0.20760254725047914
2025-07-20,0.13663912631039968,0.07701478028404345,0.09941912720181406,0.5858215304459561,0.4546123998875722,0.014232168168168165,1.0060055674603172,0.08844004988662134,,,,,,,,,0.0325526368159204,0.0325526368159204,0.050418097664833204,0.08548080321811767,0.15516073689499246,,,
2025-07-21,,,,,,,,,0.2917086237072395,0.7374170550100844,0.8112861791955334,1.7137860194615913,2.210338046743351,2.210338046743351,2.210338046743351,2.210338046743351,2.6306040883041364,0.18533928682170545,0.0,,,,,
2025-07-22,0.0,,,,,,,0.0,0.8912543956737616,3.5807959428848317,4.225121325051759,0.3772586666666667,3.2571260340632606,3.2571260340632606,3.2571260340632606,3.2571260340632606,3.2571260340632606,3.2571260340632606,3.2571260340632606,1.3233994497354498,0.6778382127739986,1.3747906507936511,,0.0
2025-07-23,0.0,0.0,0.0,,,,,,1.8733735159817346,1.8733735159817348,2.2692007496886677,1.2934244232261007,1.075819030800821,1.7279281633993169,1.082604442905243,0.616014317825077,0.616014317825077,0.2456111111111111,0.9846722010878338,,0.4385623487739576,0.37079255626282664,0.0,0.0
2025-07-24,0.0,0.0,0.0,0.0,0.2551182443064182,1.017869729834791,0.0,0.1776080918664842,2.0902689345192966,2.4134134849715676,2.4134134849715676,1.0479407407407408,3.1419145631067957,3.1419145631067957,3.1419145631067957,3.1419145631067957,3.1419145631067957,3.1419145631067957,2.566818360609375,0.8942393721093106,0.5360829321789322,,,
2025-07-25,0.0,0.0,0.014931436993845157,0.10452005895691611,,,,,1.6632518918918917,1.6632518918918917,0.7223963834845875,0.20644336274509803,1.2298105864281195,0.9774499024414425,0.8236383272905853,1.1588703258971227,0.10004478598795839,0.0,0.18839433001107422,0.0,0.388915037593985,,0.0,0.0
2025-07-26,0.0,0.3460654176046175,0.6161182422723473,,,,,,,,,,,,,,,,0.019127853926755884,1.1878397288515403,0.5713763222978079,0.09440521454173068,0.0,0.0
2025-07-27,0.0,0.0,0.17917724392614184,0.3557559228505924,0.2425327334911865,,,,,,,,,,,,0.017150431034482758,0.017150431034482758,0.03304822491417198,0.05607259985609201,0.10300383593188928,0.11663832666206578,0.36673247619047616,0.01974713333333333
2025-07-28,0.18524512576832153,0.05226002947845805,0.05226002947845805,0.09200323371469801,0.11256006349206352,0.14632808253968255,0.248264987012987,3.0137070347855404,1.0572757721487238,1.0199219877300614,0.9575365882352941,1.2093074501278773,1.537851742003991,2.872383963344787,2.872383963344787,2.872383963344787,2.872383963344787,2.872383963344787,2.872383963344787,4.749872864985996,3.996567749039265,1.1976465608465607,,
2025-07-29,,,,,,,,,1.4085932598425195,1.4349399465328412,2.7482042672201477,6.6169819762729665,2.395145191040843,2.3951451910408434,2.395145191040843,2.2615834760385276,2.697172427400305,1.9215139487406705,3.4214402439768725,1.6958772238234514,1.257298476287248,,,
2025-07-30,0.0,0.0,0.0,,,,,,0.8673317406496721,1.4320906355812422,0.6500574374520636,0.3766144408014572,1.8989741615771991,2.312938129052035,1.7587402524015823,1.7587402524015823,2.4004721855439346,1.3007693713450292,1.3007693713450292,2.306277395287685,3.080129978269772,,,
2025-07-31,,0.0,1.0011921436925646,0.6097858558850375,0.13653118812463252,0.060389367397329294,0.0,0.17420009826152683,1.6952333946581197,1.5656000523213816,1.5513006808510639,1.9907003476615412,1.4413378093527989,1.4413378093527989,1.4413378093527989,1.4413378093527989,1.4413378093527989,1.4413378093527989,2.7592611278800994,1.9783231577171354,1.034574149659864,,,
2025-08-01,,,0.0,0.0,0.0,0.0,0.0,0.11764631873015874,0.5864641398252185,3.0807283319564207,3.496439030644954,3.4964390306449538,2.6775775853410773,1.699202424458508,1.699202424458508,1.699202424458508,2.0025045299527604,2.7957561904761907,1.9414073870573874,1.336947181171319,0.992605943739658,0.8424160362811793,,0.0
2025-08-02,,0.0,0.0,0.06051161308031985,0.0,0.03484001965230536,0.0,0.05853123301587302,0.10474209288653734,0.10022741795113681,0.04682498641269841,0.04655204128290548,0.0,,,,,,,0.11284076190476189,1.4092632228571427,0.07701478028404345,0.0,0.007504004232804234
2025-08-03,0.004362793158607112,0.0,0.0,0.03282775526954396,0.041780779433965035,0.13340451969429745,0.07316404126984126,0.33256382395382383,,,,,,0.0,0.0,,0.11929221168195527,0.06849197922320496,0.019503341563786004,0.038885784946236554,0.038768292403012404,0.03750524756335282,0.11031906530688605,0.09393611813091521
2025-08-04,1.41607821812596,0.019265495934959347,0.02247966101694915,0.02247966101694915,,0.059249503603982505,0.8567062896772376,0.4225424626655396,0.5863700813788202,1.1065384042372448,1.9901741359659595,1.1141332489170277,2.6086950043165418,2.337273944687045,2.337273944687045,2.337273944687045,2.337273944687045,1.910840953120508,2.538422715428132,3.3653634444444442,0.6930818074074075,,,
2025-08-05,1.463280825396825,0.0,0.0,0.7316404126984125,0.03930667171317679,0.06714454171339662,0.06965479129923574,0.0,1.4044263288589092,2.1546022988505746,2.1546022988505746,2.1546022988505746,1.7056859676493419,1.6757582122359262,1.6757582122359262,1.6757582122359265,0.8320791813731343,0.3678271999999999,0.9190071562749237,1.0433836525554285,0.6349398095238095,,,
2025-08-06,0.0,0.0,0.0,0.0,0.0,0.14632808253968255,0.0,0.0,0.7602333737373739,1.0612957138533166,1.0844543554006967,1.0844543554006967,1.2414525252525253,1.2414525252525253,1.2414525252525253,1.2414525252525253,1.2451841366431529,1.0790364070664344,1.1027629659672114,1.2315642857142857,,,,
2025-08-07,,0.0,0.0,0.14844877938808373,0.0,0.001061673835125448,0.008493390681003583,0.28335614539137943,0.731816429392519,0.731816429392519,0.731816429392519,4.388610847009845,0.7989262331288343,0.7989262331288343,4.075050161062284,4.075050161062284,4.075050161062284,4.075050161062284,4.075050161062284,0.4232932063492063,,2.9338598095238093,,
2025-08-08,0.0,0.0,,,,,,0.36942496491228066,0.4159042653292818,0.5338901817724385,0.5338901817724385,0.5338901817724385,0.5338901817724385,0.7669456844178338,2.281806451612903,2.281806451612903,0.17015937777777776,0.18745186197089947,0.3936923783739303,,,,,
2025-08-09,,0.0,,,,,,,,0.6200832785448169,0.3235212429292896,0.3707638577849304,,,,,,,,0.08289495824041278,0.1017139434267264,0.03658202063492064,0.08144420178460995,0.027784736695540015
2025-08-10,0.019796255555555555,0.03185812923239471,0.1590232686783804,0.1345618655462185,0.0,0.020120111349206347,0.0,0.07096912003174602,0.02280039451461853,0.012535026758055037,,,,,0.0,,0.21425831884057966,0.21425831884057966,0.03169847240618102,0.03169847240618102,0.024833508138009237,0.05772484566154597,0.0,0.019033381526104412
2025-08-11,0.07316404126984126,0.09850817153075528,0.30246008763237675,0.03260502594919421,0.045289134487667124,0.027622682170542635,0.2280253555555555,,2.123146907993967,2.123146907993967,1.818134683675907,1.611162102888652,1.611162102888652,1.611162102888652,1.611162102888652,1.611162102888652,1.0078020686486229,0.8354134874371859,0.9229756175175499,1.7042774040032331,2.629048108417034,1.6130755333333335,,
