timestamp,device_id,temperature,humidity,pressure,gas_resistance,absolute_humidity
2025-08-23 15:07:25,P3,32.249724,33.778712,1000.4997,10080,11.56
2025-08-23 15:07:48,P3,31.648944,33.834952,1000.4866,9853,11.21
2025-08-23 15:08:18,P3,31.701288,33.2797,1000.4584,9909,11.06
2025-08-23 15:08:48,P3,31.755196,33.24873,1000.4509,10004,11.08
2025-08-23 15:09:18,P3,31.684686,33.48628,1000.44652,9807,11.12
2025-08-23 15:09:48,P3,31.71789,33.224024,1000.4339,9862,11.05
2025-08-23 15:10:18,P3,31.685274,32.872264,1000.43684,9984,10.91
2025-08-23 15:10:48,P3,32.175704,32.936784,1000.43368,10042,11.22
2025-08-23 15:11:18,P3,31.721992,33.364788,1000.4281,9816,11.1
2025-08-23 15:11:48,P3,31.713204,33.04294,1000.4241,9881,10.99
2025-08-23 15:12:18,P3,31.74211,32.851216,1000.43416,9966,10.94
2025-08-23 15:12:48,P3,31.717304,33.4,1000.427,9698,11.11
2025-08-23 15:13:18,P3,31.747384,32.75145,1000.4397,9835,10.91
2025-08-23 15:13:48,P3,31.715352,32.83617,1000.42848,9881,10.92
2025-08-23 15:14:18,P3,32.21945,32.822228,1000.43784,10023,11.21
2025-08-23 15:14:48,P3,31.726678,33.308648,1000.4408,9707,11.08
2025-08-23 15:15:18,P3,31.675898,35.545408,1000.4631,9636,11.8
2025-08-23 15:15:48,P3,31.689374,41.15875,1000.4373,9327,13.67
2025-08-23 15:16:18,P3,31.904414,40.314748,1000.4812,9294,13.54
2025-08-23 15:16:48,P3,31.671602,41.55092,1000.47916,9428,13.79
2025-08-23 15:17:18,P3,31.43293,42.8424,1000.50308,9566,14.03
2025-08-23 15:17:48,P3,31.62668,43.692756,1000.483,9689,14.46
2025-08-23 15:18:18,P3,30.9005068,46.174496,1000.4747,9505,14.7
2025-08-23 15:18:48,P3,30.468866,45.311904,1000.4599,9662,14.09
2025-08-23 15:19:18,P3,29.994844,45.342996,1000.45024,9918,13.75
2025-08-23 15:19:48,P3,29.388202,46.910824,1000.41284,9816,13.76
2025-08-23 15:21:01,P3,28.900118,48.064376,1000.40484,10198,13.73
2025-08-23 15:21:10,P3,28.221796,48.378036,1000.3707,10100,13.32
2025-08-23 15:21:40,P3,27.763594,48.25309,1000.3365,10248,12.95
2025-08-23 15:22:10,P3,27.512618,48.219084,1000.3504,10421,12.77
2025-08-23 15:22:40,P3,27.268086,49.19435,1000.3351,10238,12.85
2025-08-23 15:23:10,P3,27.080586,49.0650936,1000.346,10380,12.68
2025-08-23 15:23:40,P3,26.882734,48.60024,1000.3603,10505,12.43
2025-08-23 15:24:10,P3,27.26867,48.78249,1000.37692,10654,12.74
2025-08-23 15:24:40,P3,26.682148,48.83528,1000.3561,10452,12.35
2025-08-23 15:25:10,P3,26.546014,48.586604,1000.3271,10526,12.19
2025-08-23 15:25:40,P3,26.549532,48.02552,1000.3577,10687,12.06
2025-08-23 15:26:10,P3,26.440352,48.589012,1000.35984,10505,12.12
2025-08-23 15:26:40,P3,26.371406,48.0276268,1000.3562,10611,11.94
2025-08-23 15:27:10,P3,26.262618,47.478776,1000.3372,10719,11.73
2025-08-23 15:28:03,P3,26.752656,47.954968,1000.3477,10819,12.17
2025-08-23 15:28:32,P3,26.079608,47.567684,1000.33024,10643,11.63
2025-08-23 15:29:02,P3,25.952264,47.261192,1000.3196,10741,11.48
2025-08-23 15:29:32,P3,25.957344,46.88741,1000.3075,10852,11.39
2025-08-23 15:30:02,P3,25.871798,47.212968,1000.3162,10665,11.41
2025-08-23 15:30:32,P3,25.81086,46.833268,1000.322,10774,11.28
2025-08-23 15:31:02,P3,25.74914,46.452156,1000.2982,10852,11.15
2025-08-23 15:31:32,P3,26.210078,46.63308,1000.3348,10989,11.49
2025-08-23 15:32:02,P3,25.670234,46.608636,1000.3047,10774,11.14
2025-08-23 15:32:32,P3,25.62121,46.137144,1000.3074,10852,11.0
2025-08-23 15:33:02,P3,25.538594,45.74261,1000.3103,10989,10.85
2025-08-23 15:33:32,P3,25.4485552,46.2665,1000.3144,10774,10.92
2025-08-23 15:34:02,P3,25.429804,45.809336,1000.29668,10875,10.8
2025-08-23 15:34:32,P3,25.352266,45.51362,1000.2999,10989,10.69
2025-08-23 15:35:02,P3,25.825312,45.766488,1000.29176,11082,11.03
2025-08-23 15:35:32,P3,25.302462,45.7271,1000.2859,10841,10.71
2025-08-23 15:36:02,P3,25.279218,45.2262432,1000.2859,10943,10.58
2025-08-23 15:36:32,P3,25.342304,44.899584,1000.2868,11035,10.54
2025-08-23 15:37:02,P3,25.418476,45.501564,1000.2681,10752,10.72
2025-08-23 15:37:32,P3,25.497384,44.527204,1000.2764,10898,10.54
2025-08-23 15:38:02,P3,25.36164,44.268684,1000.2846,10989,10.4
2025-08-23 15:38:32,P3,25.781758,44.638196,1000.28984,11105,10.74
2025-08-23 15:40:07,P3,25.59875,45.23232,1000.30332,11105,10.77
2025-08-23 15:40:16,P3,24.996798,45.196976,1000.2787,10932,10.4
2025-08-23 15:40:46,P3,24.733712,44.82936,1000.28816,11047,10.17
2025-08-23 15:41:16,P3,24.796212,44.809512,1000.2785,11188,10.2
2025-08-23 15:41:46,P3,24.605196,45.040924,1000.26936,10977,10.14
2025-08-23 15:42:16,P3,24.54875,44.752176,1000.26776,11058,10.04
2025-08-23 15:42:46,P3,24.47043,44.440276,1000.2556,11164,9.93
2025-08-23 15:43:16,P3,24.925312,44.74845,1000.2834,11260,10.26
2025-08-23 15:43:46,P3,24.41379,44.5807384,1000.2527,11035,9.93
2025-08-23 15:44:16,P3,24.41086,44.19272,1000.2548,11105,9.84
2025-08-23 15:44:46,P3,24.40578,43.91944,1000.24856,11224,9.78
2025-08-23 15:45:16,P3,24.3159376,44.32952,1000.2495,11012,9.82
2025-08-23 15:45:46,P3,24.279218,44.121224,1000.2382,11117,9.75
2025-08-23 15:46:16,P3,24.208124,43.913356,1000.241,11200,9.67
2025-08-23 15:46:46,P3,24.655978,44.278144,1000.2608,11284,10.0
2025-08-23 15:47:16,P3,24.141328,44.326584,1000.2336,11070,9.72
2025-08-23 15:47:46,P3,24.09797,43.982436,1000.2377,11152,9.62
2025-08-23 15:48:16,P3,24.093086,43.73484,1000.218,11248,9.57
2025-08-23 15:48:46,P3,24.07414,44.08612,1000.2128,11024,9.63
2025-08-23 15:49:16,P3,24.055976,43.80336,1000.20824,11129,9.56
2025-08-23 15:49:46,P3,23.99211,43.613616,1000.20308,11236,9.49
2025-08-23 15:50:16,P3,24.455976,43.955504,1000.2278,11321,9.81
2025-08-23 15:50:46,P3,23.947188,43.88552,1000.193,11117,9.52
2025-08-23 15:51:16,P3,23.881366,43.605104,1000.1872,11188,9.42
2025-08-23 15:51:46,P3,23.863594,43.415756,1000.1852,11309,9.37
2025-08-23 15:52:16,P3,23.735664,43.999892,1000.1811,11082,9.43
2025-08-23 15:52:46,P3,23.785078,43.581596,1000.1789,11200,9.37
2025-08-23 15:53:16,P3,23.715936,43.40406,1000.16376,11272,9.29
2025-08-23 15:53:46,P3,24.17961,43.666924,1000.1786,11395,9.6
2025-08-23 15:54:16,P3,23.6384,43.765884,1000.14684,11152,9.33
2025-08-23 15:54:46,P3,23.57414,43.5047336,1000.1387,11224,9.24
2025-08-23 15:55:16,P3,23.57707,43.3659016,1000.1075,11333,9.21
2025-08-23 15:55:46,P3,23.53664,43.862328,1000.1194,11117,9.3
2025-08-23 15:56:16,P3,23.52082,43.6171,1000.1125,11212,9.24
2025-08-23 15:56:46,P3,23.602656,43.572248,1000.10176,11012,9.27
2025-08-23 15:57:16,P3,24.357344,43.204316,1000.14088,11176,9.59
2025-08-23 15:57:46,P3,23.815546,43.126,1000.1052,11012,9.29
2025-08-23 15:58:16,P3,23.669258,43.045016,1000.1053,11141,9.19
2025-08-23 15:58:46,P3,23.622774,42.93096,1000.10584,11035,9.14
2025-08-23 15:59:16,P3,23.512422,43.5093468,1000.0887,10547,9.21
2025-08-23 15:59:46,P3,23.724922,43.052976,1000.0704,10178,9.22
2025-08-23 16:00:19,P3,24.154414,42.268992,1000.0848,10411,9.28
2025-08-23 16:00:46,P3,25.120624,42.040096,1000.12696,10547,9.74
2025-08-23 16:01:16,P3,24.974922,41.837128,1000.1199,10268,9.62
2025-08-23 16:01:46,P3,25.375116,42.031104,1000.1129,10139,9.88
2025-08-23 16:02:16,P3,25.802462,41.708508,1000.1348,10188,10.04
2025-08-23 16:02:46,P3,26.021212,43.26926,1000.1477,9909,10.55
2025-08-23 16:03:16,P3,26.424336,43.010264,1000.1626,9947,10.72
2025-08-23 16:03:46,P3,26.651484,42.82334,1000.1625,9937,10.81
2025-08-23 16:04:16,P3,27.395236,43.44922,1000.1872,10042,11.43
2025-08-23 16:04:46,P3,27.061446,43.500656,1000.18252,9771,11.23
2025-08-23 16:05:16,P3,27.218478,43.58075,1000.18,9761,11.35
2025-08-23 16:05:46,P3,27.43703,42.987328,1000.1687,9862,11.33
2025-08-23 16:06:16,P3,27.523944,43.160928,1000.1873,9636,11.43
2025-08-23 16:06:46,P3,27.702852,43.00126,1000.1724,9716,11.51
2025-08-23 16:07:16,P3,27.787226,42.417444,1000.1906,9771,11.4
2025-08-23 16:07:46,P3,28.402852,42.9506,1000.2283,9872,11.94
2025-08-23 16:08:16,P3,27.992892,42.7591816,1000.2037,9627,11.62
2025-08-23 16:08:46,P3,28.018868,42.883408,1000.2017,9636,11.67
2025-08-23 16:09:16,P3,28.139962,42.6386,1000.2129,9707,11.69
2025-08-23 16:09:46,P3,28.130782,43.637836,1000.21824,9471,11.95
2025-08-23 16:10:16,P3,28.235468,43.111364,1000.2164,9601,11.88
2025-08-23 16:10:46,P3,28.277852,43.010832,1000.2238,9689,11.88
2025-08-23 16:11:16,P3,28.826484,43.065464,1000.2536,9798,12.25
2025-08-23 16:11:46,P3,28.377852,42.97147,1000.215,9601,11.93
2025-08-23 16:12:16,P3,28.425118,42.185148,1000.22684,9671,11.74
2025-08-23 16:12:46,P3,28.5255068,41.96874,1000.2237,9725,11.75
2025-08-23 16:13:16,P3,28.495038,42.41815,1000.2085,9531,11.85
2025-08-23 16:13:46,P3,28.555586,41.53369,1000.2121,9662,11.64
2025-08-23 16:14:16,P3,28.577264,41.437876,1000.2045,9645,11.63
2025-08-23 16:14:46,P3,29.120821,41.633,1000.23304,9816,12.04
2025-08-23 16:15:16,P3,28.642108,41.607432,1000.2033,9601,11.72
2025-08-23 16:15:46,P3,28.550508,41.69361,1000.2,9627,11.69
2025-08-23 16:16:16,P3,28.547968,41.175104,1000.19144,9789,11.54
2025-08-23 16:16:46,P3,28.494062,41.56857,1000.1992,9557,11.62
2025-08-23 16:17:16,P3,28.5971868,41.230356,1000.1959,9609,11.59
2025-08-23 16:17:46,P3,28.626484,40.80473,1000.2031,9671,11.48
2025-08-23 16:18:16,P3,29.118086,40.62527,1000.22624,9881,11.75
2025-08-23 16:18:46,P3,28.646406,40.732804,1000.2033,9592,11.48
2025-08-23 16:19:16,P3,28.665352,40.41783,1000.1993,9654,11.4
2025-08-23 16:19:46,P3,28.707344,40.02631,1000.2079,9752,11.32
2025-08-23 16:20:16,P3,28.691914,40.580144,1000.1887,9505,11.46
2025-08-23 16:20:46,P3,28.762812,39.90471,1000.205,9645,11.32
2025-08-23 16:21:16,P3,28.755586,39.923812,1000.18784,9725,11.32
2025-08-23 16:21:46,P3,29.27668,40.077768,1000.2051,9825,11.69
2025-08-23 16:22:16,P3,28.836836,40.464536,1000.1582,9548,11.52
2025-08-23 16:22:46,P3,28.85246,39.809772,1000.1771,9627,11.34
2025-08-23 16:23:16,P3,28.929218,39.288424,1000.176,9725,11.24
2025-08-23 16:23:46,P3,28.898944,40.04923,1000.15852,9479,11.44
2025-08-23 16:24:16,P3,28.924532,39.078376,1000.1492,9601,11.18
2025-08-23 16:24:46,P3,28.893476,39.352968,1000.1574,9654,11.24
2025-08-23 16:25:16,P3,29.39836,39.22797,1000.1953,9825,11.52
2025-08-23 16:25:46,P3,28.957736,39.53824,1000.1883,9539,11.33
2025-08-23 16:26:16,P3,28.909296,39.02526,1000.20824,9654,11.15
2025-08-23 16:26:46,P3,28.927462,38.51698,1000.1861,9771,11.02
2025-08-23 16:27:16,P3,28.890742,39.61928,1000.19384,9566,11.31
2025-08-23 16:27:46,P3,28.935274,39.290924,1000.19976,9592,11.25
2025-08-23 16:28:16,P3,28.923944,38.14265,1000.20152,9743,10.91
2025-08-23 16:28:46,P3,29.4249232,38.769184,1000.2315,9780,11.4
2025-08-23 16:29:16,P3,28.922382,38.505256,1000.19864,9618,11.01
2025-08-23 16:29:46,P3,28.806954,38.367116,1000.198,9662,10.91
2025-08-23 16:30:16,P3,28.81457,38.66839,1000.2171,9716,11.0
2025-08-23 16:30:46,P3,28.794062,39.997644,1000.21656,9471,11.36
2025-08-23 16:31:16,P3,28.891914,38.632232,1000.22328,9548,11.03
2025-08-23 16:31:46,P3,28.896992,37.762592,1000.2363,9743,10.79
2025-08-23 16:32:16,P3,29.345624,38.223768,1000.2509,9816,11.19
2025-08-23 16:32:46,P3,28.847772,38.084612,1000.2244,9592,10.85
2025-08-23 16:33:16,P3,28.789766,37.83624,1000.21332,9671,10.74
2025-08-23 16:33:46,P3,28.793476,38.25273,1000.2313,9743,10.87
2025-08-23 16:34:16,P3,28.719842,38.43272,1000.2135,9522,10.87
2025-08-23 16:34:46,P3,28.73293,38.3814,1000.23848,9609,10.87
2025-08-23 16:35:16,P3,28.644258,37.96151,1000.2332,9671,10.7
2025-08-23 16:35:46,P3,29.10832,38.34974,1000.2456,9780,11.08
2025-08-23 16:36:16,P3,28.664766,38.47801,1000.22312,9531,10.85
2025-08-23 16:36:46,P3,28.640156,38.116884,1000.222,9574,10.74
2025-08-23 16:37:16,P3,28.664376,37.826456,1000.23976,9636,10.67
2025-08-23 16:37:46,P3,28.575702,38.59787,1000.2466,9428,10.83
2025-08-23 16:38:16,P3,28.635858,38.19046,1000.2358,9488,10.75
2025-08-23 16:38:46,P3,28.582148,38.013404,1000.24784,9548,10.67
2025-08-23 16:39:16,P3,29.03996,38.25478,1000.28184,9680,11.01
2025-08-23 16:39:46,P3,28.597578,38.40677,1000.2603,9403,10.79
2025-08-23 16:40:16,P3,28.58293,38.075884,1000.2768,9471,10.69
2025-08-23 16:40:46,P3,28.600116,37.84896,1000.27868,9566,10.64
2025-08-23 16:41:16,P3,28.56086,38.87021,1000.28984,9327,10.9
2025-08-23 16:41:49,P3,28.600702,38.018424,1000.2949,9419,10.69
2025-08-23 16:42:16,P3,28.555,37.813256,1000.2944,9513,10.6
2025-08-23 16:42:46,P3,29.019648,38.206404,1000.33152,9627,10.99
2025-08-23 16:43:16,P3,28.537422,38.318856,1000.3133,9386,10.73
2025-08-23 16:43:46,P3,28.530196,38.064508,1000.3128,9445,10.66
2025-08-23 16:44:16,P3,28.55832,37.90257,1000.3178,9496,10.63
2025-08-23 16:44:46,P3,28.502656,38.385996,1000.329,9294,10.73
2025-08-23 16:45:16,P3,28.54465,38.122916,1000.3296,9352,10.68
2025-08-23 16:45:46,P3,28.489374,37.95694,1000.3382,9411,10.6
2025-08-23 16:46:16,P3,28.958516,38.380176,1000.3607,9531,11.0
2025-08-23 16:46:46,P3,28.474726,38.457756,1000.32808,9270,10.73
2025-08-23 16:47:16,P3,28.463984,38.162044,1000.3148,9311,10.65
2025-08-23 16:47:46,P3,28.482538,38.021872,1000.30584,9403,10.62
2025-08-23 16:48:16,P3,28.429024,38.52929,1000.3066,9172,10.73
2025-08-23 16:48:46,P3,28.447382,38.292608,1000.3005,9253,10.67
2025-08-23 16:49:16,P3,28.393868,38.173384,1000.2988,9319,10.61
2025-08-23 16:49:46,P3,28.92668,38.505256,1000.3156,9403,11.02
2025-08-23 16:50:16,P3,28.46086,38.532196,1000.2838,9164,10.75
2025-08-23 16:50:46,P3,28.440546,38.228652,1000.2785,9229,10.65
2025-08-23 16:51:16,P3,28.423944,38.114328,1000.2534,9327,10.61
2025-08-23 16:51:46,P3,28.372186,38.66283,1000.26248,9101,10.73
2025-08-23 16:52:16,P3,28.389376,38.5195,1000.2457,9180,10.7
2025-08-23 16:52:46,P3,28.366524,38.25165,1000.2443,9270,10.61
2025-08-23 16:53:16,P3,28.879022,38.546384,1000.2573,9377,11.0
2025-08-23 16:53:46,P3,28.413594,38.573096,1000.2219,9124,10.73
2025-08-23 16:54:16,P3,28.393476,38.375224,1000.21592,9164,10.66
2025-08-23 16:54:46,P3,28.445234,38.18061,1000.2173,9278,10.64
2025-08-23 16:55:16,P3,28.402656,38.736412,1000.2224,9069,10.77
2025-08-23 16:55:46,P3,28.432148,38.48901,1000.21624,9140,10.72
2025-08-23 16:56:16,P3,28.435468,38.21249,1000.2074,9229,10.64
2025-08-23 16:56:46,P3,28.918282,38.475184,1000.2268,9352,11.0
2025-08-23 16:57:16,P3,28.49914,38.414332,1000.1714,9101,10.74
2025-08-23 16:57:46,P3,28.51457,38.231424,1000.1964,9148,10.7
2025-08-23 16:58:16,P3,28.503828,37.96619,1000.1821,9237,10.61
2025-08-23 16:58:46,P3,28.469062,38.504684,1000.1831,9007,10.74
2025-08-23 16:59:16,P3,28.505196,38.304392,1000.169,9101,10.71
2025-08-23 16:59:46,P3,28.444258,38.137884,1000.1685,9180,10.63
2025-08-23 17:00:16,P3,28.958712,38.54919,1000.1847,9294,11.05
2025-08-23 17:00:46,P3,28.470624,38.573924,1000.1508,9038,10.76
2025-08-23 17:01:16,P3,28.441522,38.380244,1000.1331,9109,10.69
2025-08-23 17:01:46,P3,28.462422,38.170424,1000.1395,9205,10.65
2025-08-23 17:02:16,P3,28.399726,38.741884,1000.12468,8991,10.77
2025-08-23 17:02:46,P3,28.444648,38.44374,1000.1064,9085,10.71
2025-08-23 17:03:16,P3,28.443672,38.184336,1000.1029,9148,10.64
2025-08-23 17:03:46,P3,28.949922,38.51921,1000.1252,9278,11.03
2025-08-23 17:04:16,P3,28.454024,38.62462,1000.103,9030,10.77
2025-08-23 17:04:46,P3,28.440156,38.2987068,1000.09116,9109,10.67
2025-08-23 17:05:16,P3,28.468672,38.113408,1000.07984,9180,10.64
2025-08-23 17:05:46,P3,28.394844,38.641924,1000.0863,8999,10.74
2025-08-23 17:06:16,P3,28.409884,38.42231,1000.0804,9077,10.69
2025-08-23 17:06:46,P3,28.44621,38.184984,1000.0701,9140,10.64
2025-08-23 17:07:16,P3,28.922382,38.544908,1000.1174,9270,11.03
2025-08-23 17:07:46,P3,28.403242,38.7062336,1000.0952,9030,10.76
2025-08-23 17:08:16,P3,28.384688,38.461796,1000.1153,9101,10.68
2025-08-23 17:08:46,P3,28.408906,38.228652,1000.1142,9213,10.63
2025-08-23 17:09:16,P3,28.369454,38.669536,1000.13284,9007,10.73
