start,end,duration_min,peak_time,peak_co2,start_co2,end_co2,rise_time_min,rise_rate_ppm_min,est_people_heuristic,est_people_mass,est_people_band,device_id
2025-07-17 23:35:47,2025-07-18 02:12:46,156.98333333333332,2025-07-17 23:58:17,485.0,456.0,485.0,22.5,1.288888888888889,1.8,0.0,10-30% cap,P2
2025-07-18 02:24:46,2025-07-18 05:56:16,211.5,2025-07-18 05:00:46,513.0,486.0,512.0,156.0,0.17307692307692307,0.2,0.0,~0-10% cap,P2
2025-07-18 06:06:46,2025-07-18 06:13:46,7.0,2025-07-18 06:13:16,510.0,509.0,510.0,6.5,0.15384615384615385,0.2,0.0,~0-10% cap,P2
2025-07-18 06:41:20,2025-07-18 07:48:51,67.51666666666667,2025-07-18 07:48:51,561.0,427.0,561.0,67.51666666666667,1.984695137003209,2.7,0.0,10-30% cap,P2
2025-07-18 09:55:44,2025-07-18 11:14:16,78.53333333333333,2025-07-18 11:11:16,840.0,564.0,764.0,75.53333333333333,3.654015887025596,5.0,0.1,30-60% cap,P2
2025-07-18 11:50:17,2025-07-18 11:59:47,9.5,2025-07-18 11:59:18,649.0,618.0,649.0,9.016666666666667,3.43807763401109,4.7,0.1,30-60% cap,P2
2025-07-18 12:21:18,2025-07-18 19:11:51,410.55,2025-07-18 18:21:52,808.0,622.0,749.0,360.56666666666666,0.5158546731995932,0.7,0.0,~0-10% cap,P2
2025-07-18 19:49:21,2025-07-18 19:54:51,5.5,2025-07-18 19:50:21,705.0,704.0,702.0,1.0,1.0,1.4,0.0,10-30% cap,P2
2025-07-18 23:00:20,2025-07-18 23:07:50,7.5,2025-07-18 23:01:51,510.0,509.0,508.0,1.5166666666666666,0.6593406593406593,0.9,0.0,~0-10% cap,P2
2025-07-19 00:41:50,2025-07-19 00:50:20,8.5,2025-07-19 00:41:50,470.0,470.0,467.0,0.0,0.0,0.0,0.0,~0-10% cap,P2
2025-07-19 01:06:20,2025-07-19 01:13:20,7.0,2025-07-19 01:06:20,463.0,463.0,462.0,0.0,0.0,0.0,0.0,~0-10% cap,P2
2025-07-19 01:27:20,2025-07-19 01:33:20,6.0,2025-07-19 01:27:20,458.0,458.0,457.0,0.0,0.0,0.0,0.0,~0-10% cap,P2
